,Residual_Hydro_Water_Reservoir_AT,Residual_Hydro_Run-of-river_and_poundage_AT,Residual_Other_AT,Biomass_AT,Fossil_Brown_coal/Lignite_AT,Fossil_Coal-derived_gas_AT,Fossil_Gas_AT,Fossil_Hard_coal_AT,Fossil_Oil_AT,Fossil_Oil_shale_AT,Fossil_Peat_AT,Geothermal_AT,Hydro_Pumped_Storage_AT,Hydro_Run-of-river_and_poundage_AT,Hydro_Water_Reservoir_AT,Marine_AT,Nuclear_AT,Other_fossil_AT,Other_renewable_AT,Solar_AT,Waste_AT,Wind_Offshore_AT,Wind_Onshore_AT
2016-01-01 00:00:00,0.0,0.0,0.0,1.8497234209685567e-05,0.0,0.0,2.3552204638297638e-05,1.3924698110753844e-05,0.0,0.0,0.0,1.6005848218128592e-09,0.0,1.7343064842286052e-06,2.641131102817776e-07,0.0,0.0,1.1204093750362066e-05,0.0,0.0,0.0,0.0,1.0407403757174378e-06
2016-01-01 01:00:00,0.0,0.0,0.0,1.792804361118186e-05,0.0,0.0,2.2612641588121562e-05,1.3611500520329578e-05,0.0,0.0,0.0,1.5666413692287808e-09,0.0,1.703936196428041e-06,2.2779778938698165e-07,0.0,0.0,1.0966489582322887e-05,0.0,0.0,0.0,0.0,7.334360299361345e-07
2016-01-01 02:00:00,0.0,0.0,0.0,1.7715208667947788e-05,0.0,0.0,2.131059929642367e-05,1.3602359667621015e-05,0.0,0.0,0.0,1.568683366899527e-09,0.0,1.716852716106199e-06,2.603566278510136e-07,0.0,0.0,1.0980783566015142e-05,0.0,0.0,0.0,0.0,3.7269905000541396e-07
2016-01-01 03:00:00,0.0,0.0,0.0,1.7972060756382547e-05,0.0,0.0,2.0686870554110246e-05,1.3799579726032776e-05,0.0,0.0,0.0,1.591427643099334e-09,0.0,1.7565020978714314e-06,2.194723311346941e-07,0.0,0.0,1.113999349938071e-05,0.0,0.0,0.0,0.0,2.6537552471083564e-07
2016-01-01 04:00:00,0.0,0.0,0.0,1.7978269820885093e-05,0.0,0.0,2.0246804632884846e-05,1.3786159996006595e-05,0.0,0.0,0.0,1.591977456335617e-09,0.0,1.7731734065648642e-06,2.4586335365056365e-07,0.0,0.0,1.1143842192033889e-05,0.0,0.0,0.0,0.0,2.3007159218480342e-07
2016-01-01 05:00:00,0.0,0.0,0.0,1.838343282903051e-05,0.0,0.0,2.174597812784633e-05,1.4134042798592602e-05,0.0,0.0,0.0,1.627854678200389e-09,0.0,1.8285247704662893e-06,3.014659855457982e-07,0.0,0.0,1.1394982745035113e-05,0.0,0.0,0.0,0.0,2.2260105684897576e-07
2016-01-01 06:00:00,0.0,0.0,0.0,1.806986212603459e-05,0.0,0.0,2.314714330321652e-05,1.3856395129074134e-05,0.0,0.0,0.0,1.6000879634324912e-09,0.0,1.8422831390099868e-06,2.921718949039654e-07,0.0,0.0,1.1200615741700214e-05,0.0,3.2450701289921065e-07,0.0,0.0,2.3009886530164798e-07
2016-01-01 07:00:00,0.0,0.0,0.0,1.7826338421432467e-05,0.0,0.0,2.272034708012179e-05,1.3696705094287074e-05,0.0,0.0,0.0,1.578523916854463e-09,0.0,1.7699558935965716e-06,2.65782412208055e-07,0.0,0.0,1.1049667415685381e-05,0.0,5.646611214429154e-07,0.0,0.0,2.1636103829525599e-07
2016-01-01 08:00:00,0.0,0.0,0.0,1.7062561862109796e-05,0.0,0.0,2.5249228844365795e-05,1.3109864317249295e-05,0.0,0.0,0.0,1.510891431847104e-09,0.0,1.7978233578916086e-06,2.787888914901398e-07,0.0,0.0,1.0576240020732234e-05,0.0,1.5129043650254936e-06,0.0,0.0,2.7403449022420396e-07
2016-01-01 09:00:00,0.0,0.0,0.0,1.8287230956412323e-05,0.0,0.0,2.8609458169281008e-05,1.4041578479627906e-05,0.0,0.0,0.0,1.6193359934775953e-09,0.0,1.9024254838232883e-06,2.331254939712473e-07,0.0,0.0,1.1335351951987947e-05,0.0,3.0862329781140587e-06,0.0,0.0,3.434033095415601e-07
2016-01-01 10:00:00,0.0,0.0,0.0,1.798370726885558e-05,0.0,0.0,2.8971375427861946e-05,1.3790329558953303e-05,0.0,0.0,0.0,1.592458942856581e-09,8.923457244991865e-06,1.9649496829673655e-06,2.6568005847178404e-07,0.0,0.0,1.114721259767994e-05,0.0,4.262234845342159e-06,0.0,0.0,3.140653970415403e-07
2016-01-01 11:00:00,0.0,0.0,0.0,1.73438939918931e-05,0.0,0.0,2.7605436730185965e-05,1.3334796730051103e-05,0.0,0.0,0.0,1.5358034179736895e-09,2.874146447627217e-05,1.943908385148993e-06,3.267790548719279e-07,0.0,0.0,1.0750623923582101e-05,0.0,4.795437092959617e-06,0.0,0.0,3.2554143260400347e-07
2016-01-01 12:00:00,0.0,0.0,0.0,1.7927721234184998e-05,0.0,0.0,2.8425603065166916e-05,1.375646552524959e-05,0.0,0.0,0.0,1.5875013743055934e-09,2.3461002178426745e-05,1.9328551978796274e-06,2.7675301192409034e-07,0.0,0.0,1.1112509617830235e-05,0.0,4.857362448820502e-06,0.0,0.0,3.365336408912237e-07
2016-01-01 13:00:00,0.0,0.0,0.0,1.809764873314506e-05,0.0,0.0,2.9112590715314674e-05,1.4026134218007196e-05,0.0,0.0,0.0,1.6133038289229626e-09,1.7285399161414235e-08,1.93655133157938e-06,2.573743308889882e-07,0.0,0.0,1.1293126800114291e-05,0.0,3.7665006058881524e-06,0.0,0.0,3.9572205316737105e-07
2016-01-01 14:00:00,0.0,0.0,0.0,1.7493365267696295e-05,0.0,0.0,2.823546678568517e-05,1.3595598429480411e-05,0.0,0.0,0.0,1.5699720742682712e-09,0.0,1.900808121721089e-06,2.655495521456839e-07,0.0,0.0,1.0989804517594475e-05,0.0,1.8885647818189524e-06,0.0,0.0,4.0517875262492805e-07
2016-01-01 15:00:00,0.0,0.0,0.0,1.672400718089792e-05,0.0,0.0,2.7394072094029503e-05,1.3057679437359248e-05,0.0,0.0,0.0,1.5009247130028893e-09,3.0436612160436292e-05,2.0851937514309126e-06,3.994135853645579e-07,0.0,0.0,1.0506472988837225e-05,0.0,6.010286055510785e-07,0.0,0.0,3.3616419386908257e-07
2016-01-01 16:00:00,0.0,0.0,0.0,1.5711886748172523e-05,0.0,0.0,2.5604113949535474e-05,1.2153887291817286e-05,0.0,0.0,0.0,1.4053424500176251e-09,4.984950277034045e-05,2.118234396751355e-06,4.948557268106632e-07,0.0,0.0,9.837397148079394e-06,0.0,2.805744160172406e-07,0.0,0.0,2.7620173758126207e-07
2016-01-01 17:00:00,0.0,0.0,0.0,1.5611643349678212e-05,0.0,0.0,2.5286926673723228e-05,1.1995064266290755e-05,0.0,0.0,0.0,1.3824124633043251e-09,4.5466560494863644e-05,2.181824062246486e-06,5.429792949537911e-07,0.0,0.0,9.676887241119646e-06,0.0,2.75996480133153e-07,0.0,0.0,2.5904339095626694e-07
2016-01-01 18:00:00,0.0,0.0,0.0,1.556127399493351e-05,0.0,0.0,2.4637240201794586e-05,1.1932750769300027e-05,0.0,0.0,0.0,1.3779522522805376e-09,4.577262067878939e-05,2.0958653939754845e-06,4.783248052001076e-07,0.0,0.0,9.64566576395962e-06,0.0,0.0,0.0,0.0,3.4217254117400233e-07
2016-01-01 19:00:00,0.0,0.0,0.0,1.5482799329145813e-05,0.0,0.0,2.4468662604997414e-05,1.1888237337993485e-05,0.0,0.0,0.0,1.3710033133630475e-09,4.2065319071180296e-05,2.0240994843507924e-06,5.266397596550574e-07,0.0,0.0,9.597023191547297e-06,0.0,0.0,0.0,0.0,6.454920592367603e-07
2016-01-01 20:00:00,0.0,0.0,0.0,1.66582273846236e-05,0.0,0.0,2.670488505066059e-05,1.2782345716720467e-05,0.0,0.0,0.0,1.4750875764488777e-09,2.495532197862979e-05,1.9149319165954165e-06,4.889359490413711e-07,0.0,0.0,1.0325613032996721e-05,0.0,0.0,0.0,0.0,6.481528198705244e-07
2016-01-01 21:00:00,0.0,0.0,0.0,1.732570829239211e-05,0.0,0.0,2.6863359786835578e-05,1.3320814713881443e-05,0.0,0.0,0.0,1.534193072599985e-09,3.251393653333432e-05,1.7583247061696698e-06,3.6786760543898374e-07,0.0,0.0,1.073935150596851e-05,0.0,0.0,0.0,0.0,3.2465942551603516e-07
2016-01-01 22:00:00,0.0,0.0,0.0,1.8763719152763934e-05,0.0,0.0,2.6054069322716965e-05,1.4426424707094462e-05,0.0,0.0,0.0,1.6615290673584084e-09,0.0,1.782065564071783e-06,3.4730271842767785e-07,0.0,0.0,1.1630703469092269e-05,0.0,0.0,0.0,0.0,1.4033354482029278e-07
