,Residual_Hydro_Water_Reservoir_AT,Residual_Hydro_Run-of-river_and_poundage_AT,Residual_Other_AT,Biomass_AT,Fossil_Brown_coal/Lignite_AT,Fossil_Coal-derived_gas_AT,Fossil_Gas_AT,Fossil_Hard_coal_AT,Fossil_Oil_AT,Fossil_Oil_shale_AT,Fossil_Peat_AT,Geothermal_AT,Hydro_Pumped_Storage_AT,Hydro_Run-of-river_and_poundage_AT,Hydro_Water_Reservoir_AT,Marine_AT,Nuclear_AT,Other_fossil_AT,Other_renewable_AT,Solar_AT,Waste_AT,Wind_Offshore_AT,Wind_Onshore_AT
2016-01-01 00:00:00,0.0,0.0,0.0,0.015730956176258654,0.0,0.0,0.00027602284494643493,0.0002476364160039685,0.0,0.0,0.0,1.709715623565465e-08,0.0,3.63378491442549e-05,2.7928178174748275e-06,0.0,0.0,6.745321566585718e-05,0.0,0.0,0.0,0.0,3.6062759207012797e-05
2016-01-01 01:00:00,0.0,0.0,0.0,0.01524688854433605,0.0,0.0,0.0002650115247707244,0.00024206651939458733,0.0,0.0,0.0,1.6734578442776284e-08,0.0,3.5701519322161564e-05,2.4088078183721832e-06,0.0,0.0,6.602274163136998e-05,0.0,0.0,0.0,0.0,2.5414337291470067e-05
2016-01-01 02:00:00,0.0,0.0,0.0,0.015065883258527507,0.0,0.0,0.0002497520862971546,0.00024190395874257428,0.0,0.0,0.0,1.6756390690858237e-08,0.0,3.597215115557852e-05,2.753095552069388e-06,0.0,0.0,6.610879724516622e-05,0.0,0.0,0.0,0.0,1.2914417861190764e-05
2016-01-01 03:00:00,0.0,0.0,0.0,0.015284322885833089,0.0,0.0,0.00024244222360819584,0.00024541131438078845,0.0,0.0,0.0,1.699934091652297e-08,0.0,3.6802900083954246e-05,2.320771718532895e-06,0.0,0.0,6.70673060019416e-05,0.0,0.0,0.0,0.0,9.195543740180455e-06
2016-01-01 04:00:00,0.0,0.0,0.0,0.01528960337914781,0.0,0.0,0.00023728481905070092,0.00024517265830214364,0.0,0.0,0.0,1.7005213921610265e-08,0.0,3.715220368504683e-05,2.5998389629611056e-06,0.0,0.0,6.709047670198666e-05,0.0,0.0,0.0,0.0,7.972224988018781e-06
2016-01-01 05:00:00,0.0,0.0,0.0,0.015634173894562453,0.0,0.0,0.0002548545599519276,0.00025135939569038794,0.0,0.0,0.0,1.7388447886573464e-08,0.0,3.831194651578033e-05,3.1877992534965933e-06,0.0,0.0,6.860244529681272e-05,0.0,0.0,0.0,0.0,7.713363005482824e-06
2016-01-01 06:00:00,0.0,0.0,0.0,0.015367497972580312,0.0,0.0,0.0002712756807720422,0.0002464217178143908,0.0,0.0,0.0,1.7091848884716182e-08,0.0,3.8600217086846264e-05,3.0895205201385866e-06,0.0,0.0,6.743227663467959e-05,0.0,3.909781947316503e-06,0.0,0.0,7.973170030479455e-06
2016-01-01 07:00:00,0.0,0.0,0.0,0.015160393457302551,0.0,0.0,0.00026627379200960176,0.00024358179499727232,0.0,0.0,0.0,1.6861505657420112e-08,0.0,3.708478912947391e-05,2.8104695582667886e-06,0.0,0.0,6.652350612490502e-05,0.0,6.8032485315030684e-06,0.0,0.0,7.497139736163652e-06
2016-01-01 08:00:00,0.0,0.0,0.0,0.014510840370232527,0.0,0.0,0.00029591132063249516,0.00023314543611647272,0.0,0.0,0.0,1.6139067741592127e-08,0.0,3.7668678841468145e-05,2.9480042949667938e-06,0.0,0.0,6.367328004813128e-05,0.0,1.8228038036978277e-05,0.0,0.0,9.49558609039212e-06
2016-01-01 09:00:00,0.0,0.0,0.0,0.015552359098627266,0.0,0.0,0.0003352919252162101,0.0002497150129989613,0.0,0.0,0.0,1.7297452844234547e-08,0.0,3.98603423720144e-05,2.465144697193931e-06,0.0,0.0,6.824344359320713e-05,0.0,3.718409003010039e-05,0.0,0.0,1.1899289344233966e-05
2016-01-01 10:00:00,0.0,0.0,0.0,0.01529422765187771,0.0,0.0,0.00033953345728859554,0.0002452468096852626,0.0,0.0,0.0,1.7010357073139693e-08,0.0004407646999522229,4.11703731751186e-05,2.8093872366128665e-06,0.0,0.0,6.711076791910694e-05,0.0,5.135300067834884e-05,0.0,0.0,1.088269952144047e-05
2016-01-01 11:00:00,0.0,0.0,0.0,0.014750099026657892,0.0,0.0,0.0003235251773358189,0.00023714562743885027,0.0,0.0,0.0,1.6405173050815464e-08,0.0014196541338483352,4.0729507899646e-05,3.4554678707551895e-06,0.0,0.0,6.472314229220666e-05,0.0,5.777722092363154e-05,0.0,0.0,1.128035634037087e-05
2016-01-01 12:00:00,0.0,0.0,0.0,0.01524661437910938,0.0,0.0,0.000333137213601104,0.00024464457271961167,0.0,0.0,0.0,1.6957401226682772e-08,0.0011588313029186413,4.0497917315622986e-05,2.9264762431399465e-06,0.0,0.0,6.690184182153887e-05,0.0,5.8523320788355374e-05,0.0,0.0,1.166124803042574e-05
2016-01-01 13:00:00,0.0,0.0,0.0,0.01539112906757466,0.0,0.0,0.0003411884465344536,0.0002494403527108056,0.0,0.0,0.0,1.723301835852393e-08,8.537939461984946e-07,4.057536011481677e-05,2.7215597752817102e-06,0.0,0.0,6.798923095099631e-05,0.0,4.538020901887877e-05,0.0,0.0,1.3712189369459194e-05
2016-01-01 14:00:00,0.0,0.0,0.0,0.01487721673856091,0.0,0.0,0.00033090888900915723,0.00024178371708508405,0.0,0.0,0.0,1.6770156428809256e-08,0.0,3.9826454786045135e-05,2.808007220329552e-06,0.0,0.0,6.616310705423688e-05,0.0,2.2754135340017584e-05,0.0,0.0,1.4039874047970752e-05
2016-01-01 15:00:00,0.0,0.0,0.0,0.014222916846475522,0.0,0.0,0.00032104806450969706,0.00023221738176852326,0.0,0.0,0.0,1.6032605061880232e-08,0.0015033841546095862,4.3689772635395246e-05,4.223528989369534e-06,0.0,0.0,6.325325405105957e-05,0.0,7.241417591595397e-06,0.0,0.0,1.1648446298783457e-05
2016-01-01 16:00:00,0.0,0.0,0.0,0.013362159935911984,0.0,0.0,0.00030007043855213,0.00021614436920089694,0.0,0.0,0.0,1.501161269624879e-08,0.002462263282952127,4.43820528039821e-05,5.232765194585759e-06,0.0,0.0,5.922514450565397e-05,0.0,3.380465577068415e-06,0.0,0.0,9.570683512768706e-06
2016-01-01 17:00:00,0.0,0.0,0.0,0.013276908027934978,0.0,0.0,0.00029635312479764,0.0002133198652506158,0.0,0.0,0.0,1.4766678744623066e-08,0.0022457725009693186,4.571440766335028e-05,5.7416394356531634e-06,0.0,0.0,5.825880937745025e-05,0.0,3.325308892115239e-06,0.0,0.0,8.976128581332417e-06
2016-01-01 18:00:00,0.0,0.0,0.0,0.01323407145555161,0.0,0.0,0.00028873904742955555,0.00021221168387815643,0.0,0.0,0.0,1.4719035580900376e-08,0.0022608900189258333,4.391336894921434e-05,5.057961859893347e-06,0.0,0.0,5.8070843346532865e-05,0.0,0.0,0.0,0.0,1.1856641913314176e-05
2016-01-01 19:00:00,0.0,0.0,0.0,0.01316733274670148,0.0,0.0,0.00028676338236648433,0.00021142005834307368,0.0,0.0,0.0,1.4644808278026303e-08,0.0020777717906598435,4.240970231280537e-05,5.568859881988156e-06,0.0,0.0,5.777799521436113e-05,0.0,0.0,0.0,0.0,2.2366985316820446e-05
2016-01-01 20:00:00,0.0,0.0,0.0,0.0141669744779709,0.0,0.0,0.0003129710555276343,0.00022732085509040667,0.0,0.0,0.0,1.575661746389367e-08,0.0012326416434947462,4.012238190858944e-05,5.170167541588027e-06,0.0,0.0,6.216440332574029e-05,0.0,0.0,0.0,0.0,2.245918349830907e-05
2016-01-01 21:00:00,0.0,0.0,0.0,0.014734633014894092,0.0,0.0,0.00031482831892199305,0.00023689697168019578,0.0,0.0,0.0,1.6387971634138027e-08,0.001605991387298207,3.6841088066293436e-05,3.889951550855209e-06,0.0,0.0,6.465527773900792e-05,0.0,0.0,0.0,0.0,1.124979385814724e-05
