,Residual_Hydro_Water_Reservoir_DE,Residual_Hydro_Run-of-river_and_poundage_DE,Residual_Other_DE,Biomass_DE,Fossil_Brown_coal/Lignite_DE,Fossil_Coal-derived_gas_DE,Fossil_Gas_DE,Fossil_Hard_coal_DE,Fossil_Oil_DE,Fossil_Oil_shale_DE,Fossil_Peat_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Hydro_Run-of-river_and_poundage_DE,Hydro_Water_Reservoir_DE,Marine_DE,Nuclear_DE,Other_fossil_DE,Other_renewable_DE,Solar_DE,Waste_DE,Wind_Offshore_DE,Wind_Onshore_DE
2016-01-01 00:00:00,0.0,0.0,0.0,3.184266032834446e-05,0.00013422166918840845,1.6349251494071816e-05,5.8934856613036655e-06,5.55794279466578e-05,2.9555743361036004e-06,0.0,0.0,4.43263401212276e-08,2.410112180547758e-06,1.6837560113834203e-07,2.0034198781380247e-08,0.0,3.389147999716985e-06,2.028150598843172e-05,1.1624473209879026e-06,0.0,0.0,1.7236315961719824e-06,6.109953040233733e-06
2016-01-01 01:00:00,0.0,0.0,0.0,3.2059276538384056e-05,0.00013611117777873687,1.989033220332251e-05,5.948520004500928e-06,5.278564072887211e-05,2.9845469381293256e-06,0.0,0.0,4.468515486094293e-08,7.711759967000485e-07,1.6954088570486705e-07,2.1927851925393926e-08,0.0,3.3911988867062648e-06,2.0071822459430508e-05,1.1739307909856257e-06,0.0,0.0,1.69748053135405e-06,6.179281193775763e-06
2016-01-01 02:00:00,0.0,0.0,0.0,3.23550583402455e-05,0.00013804808430717942,2.166936857259389e-05,5.966417368643348e-06,5.027995827749766e-05,3.007199321187194e-06,0.0,0.0,4.508672158507272e-08,5.641450312478124e-07,1.6848408926593771e-07,2.370086746234844e-08,0.0,3.442176471396954e-06,2.000917855147699e-05,1.1831078589247987e-06,0.0,0.0,1.5410595938279012e-06,6.360981735803203e-06
2016-01-01 03:00:00,0.0,0.0,0.0,3.205294169255265e-05,0.0001367333761722811,2.202819213873236e-05,5.9714859405948346e-06,4.970438510322599e-05,2.9831041027904314e-06,0.0,0.0,4.4759854190195595e-08,4.7545736691695665e-07,1.6613168453657694e-07,1.6755270184103756e-08,0.0,3.39097536917751e-06,1.946322973721181e-05,1.1734515789002236e-06,0.0,0.0,1.4763546985920895e-06,6.330128209366713e-06
2016-01-01 04:00:00,0.0,0.0,0.0,3.265799980929823e-05,0.0001397723214189349,2.284842818107935e-05,6.109900772090484e-06,5.1095965083436924e-05,3.0424598789852527e-06,0.0,0.0,4.586794230520904e-08,5.08186333729541e-07,1.681568535287962e-07,1.9045863490699057e-08,0.0,3.412529642690848e-06,1.9558138891653998e-05,1.197052388978779e-06,0.0,0.0,1.2251915695977928e-06,5.853951422561169e-06
2016-01-01 05:00:00,0.0,0.0,0.0,3.323420443148595e-05,0.0001400352696988751,2.2746999297512935e-05,6.1561617640618235e-06,5.4046584125638555e-05,3.091141114941533e-06,0.0,0.0,4.654739616942604e-08,4.1952710585990497e-07,1.6988762923673139e-07,2.243541414346495e-08,0.0,3.45086975327215e-06,1.941105212502039e-05,1.215443057702162e-06,0.0,0.0,1.0465635707152264e-06,5.4048562866796505e-06
2016-01-01 06:00:00,0.0,0.0,0.0,3.3881266939144627e-05,0.00014419121628434046,2.3117616592419828e-05,6.28613267181837e-06,5.661576183944104e-05,3.1588754970900543e-06,0.0,0.0,4.745747884706663e-08,4.188903669196865e-06,1.7370382334713353e-07,1.9584136076576453e-08,0.0,3.4674097614830025e-06,2.013205559094333e-05,1.2361791662610942e-06,0.0,0.0,7.573832799687769e-07,4.836254359790579e-06
2016-01-01 07:00:00,0.0,0.0,0.0,3.451392922722473e-05,0.00014567235218760139,2.3339205476664625e-05,6.419127139075596e-06,6.049917679489089e-05,3.1861269137869503e-06,0.0,0.0,4.8214802890519495e-08,2.489470187649176e-06,1.784174623281231e-07,1.7991832501365024e-08,0.0,3.5116418801135353e-06,2.0630497644749736e-05,1.2478279917166432e-06,7.499567853556804e-07,0.0,5.244769024439262e-07,4.173545015806187e-06
2016-01-01 08:00:00,0.0,0.0,0.0,3.379937853551532e-05,0.00014066688940979683,2.2669527494572046e-05,6.324412074945612e-06,5.962907562597063e-05,3.1062498523822376e-06,0.0,0.0,4.667205617291271e-08,1.928386749871606e-06,1.8428285952316193e-07,1.7919161443426792e-08,0.0,3.4339469684114873e-06,2.109945376088257e-05,1.2218560975786927e-06,5.241069653753645e-06,0.0,3.49173560442726e-07,3.366060076719202e-06
2016-01-01 09:00:00,0.0,0.0,0.0,3.3151057043025714e-05,0.0001370560392378571,2.216900952549801e-05,6.3736266319483855e-06,6.614379328129529e-05,3.0464785273013046e-06,0.0,0.0,4.483264566142513e-08,1.3536056107214009e-06,1.7927234554568525e-07,1.7000168437103846e-08,0.0,3.340053863766096e-06,2.1138901196547004e-05,1.1988500061460388e-06,1.3403517208515552e-05,0.0,2.3681173916217007e-07,2.439022094375767e-06
