,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2017-01-01 00:00:00,3.696059854370935e-07,4.2112622088178535e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1790703024221868e-06,2.2260692629335287e-08,9.352798466507864e-07,0.0,2.8427348403608514e-06,0.0,0.0,1.4188046733526813e-09,0.0,0.0,6.69980652890094e-08
2017-01-01 01:00:00,3.563152651701401e-07,4.059828762949818e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196987996345184e-06,2.2190003208537152e-08,6.240332960767748e-07,0.0,2.8203220261271324e-06,0.0,0.0,1.3047893507753038e-09,0.0,0.0,5.655785416150643e-08
2017-01-01 02:00:00,3.576195291528816e-07,4.074689446589305e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2657035526933602e-06,2.240011604686313e-08,5.546466886765838e-07,0.0,2.9019271369561806e-06,0.0,0.0,1.1051860001507385e-09,0.0,0.0,4.796108426311202e-08
2017-01-01 03:00:00,3.237801112455801e-07,3.689125718142414e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1833819708639463e-06,2.1987354730233897e-08,5.248493962070345e-07,0.0,2.884556527511256e-06,0.0,0.0,9.444944845004075e-10,0.0,0.0,3.969410979931398e-08
2017-01-01 04:00:00,3.266172435369531e-07,3.7214517855515946e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.670454887008605e-07,2.2446423996717335e-08,4.803234626159934e-07,0.0,2.9435990532182676e-06,0.0,0.0,1.474724728404376e-09,0.0,0.0,5.41702241718492e-08
2017-01-01 05:00:00,3.412184591170848e-07,3.887816914359489e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033406605933132e-07,2.3599939921472572e-08,5.009167478935091e-07,0.0,3.0817302063339997e-06,0.0,0.0,2.934934172468352e-09,0.0,0.0,6.149821573445546e-08
2017-01-01 06:00:00,3.70984346220438e-07,4.2269671457120724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.126255951179253e-07,2.3579084149540056e-08,5.548200663536913e-07,0.0,3.107360352714086e-06,0.0,0.0,4.5174294618254746e-09,0.0,0.0,6.49196634551937e-08
2017-01-01 07:00:00,3.541171044374006e-07,4.0347830884006183e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.216560856437589e-07,2.2950311640770356e-08,4.926142235778438e-07,0.0,3.0062207059819388e-06,0.0,0.0,5.165284200958066e-08,0.0,0.0,5.875974037125644e-08
2017-01-01 08:00:00,3.387677631397764e-07,3.85989387263078e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.356670227794677e-07,2.1737930874343642e-08,6.449323251088092e-07,0.0,2.8556235959896394e-06,0.0,0.0,1.0108392869154073e-06,0.0,0.0,5.3910413146976654e-08
2017-01-01 09:00:00,3.224076634249121e-07,3.6734881530907587e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.186030753049936e-07,2.1635892368658882e-08,6.352883521784593e-07,0.0,2.842708905367338e-06,0.0,0.0,2.7605118072779846e-06,0.0,0.0,1.2865092065088537e-07
2017-01-01 10:00:00,3.4269347970943724e-07,3.904623185693152e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.802800145304587e-07,2.2665517660411155e-08,7.217713262249917e-07,0.0,2.930635267781901e-06,0.0,0.0,4.128305516498069e-06,0.0,0.0,9.249698154516031e-08
2017-01-01 11:00:00,3.428667876070905e-07,3.90659784256732e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0364640373436928e-06,2.2792256332749613e-08,4.524189412952813e-07,0.0,2.930231886969217e-06,0.0,0.0,5.635718243838344e-06,0.0,0.0,5.3729353955036174e-08
2017-01-01 12:00:00,3.5222202247319675e-07,4.0131906700607857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0544026207801264e-06,2.3009850558237316e-08,4.920832136759079e-07,0.0,2.9836124129911503e-06,0.0,0.0,5.53734809945275e-06,0.0,0.0,4.700925737977031e-08
2017-01-01 13:00:00,3.4047818147258187e-07,3.8793822477383806e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053065239823319e-06,2.2675198402032194e-08,9.5194404268625e-07,0.0,2.960805338706311e-06,0.0,0.0,4.0984279046917185e-06,0.0,0.0,5.0891063787312875e-08
2017-01-01 14:00:00,3.46091576619262e-07,3.9433408408775585e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.853249630423924e-07,2.324881539926726e-08,8.336366297334727e-07,0.0,3.005642760811004e-06,0.0,0.0,1.965304025281599e-06,0.0,0.0,5.7452147031999424e-08
2017-01-01 15:00:00,3.725218198568951e-07,4.244485002233278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.807754758935809e-07,2.4240546805690218e-08,6.837576905955423e-07,0.0,3.0731536887121012e-06,0.0,0.0,4.389176586417948e-07,0.0,0.0,7.447454510110119e-08
2017-01-01 16:00:00,3.6692387977914484e-07,4.180702502962392e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3102239461883505e-06,2.229450650717647e-08,9.531072713041877e-07,0.0,2.7656319392732335e-06,0.0,0.0,2.3438328896224376e-08,0.0,0.0,6.498609781091474e-08
2017-01-01 17:00:00,3.819330522344723e-07,4.3517158610713017e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9145173010971725e-06,2.08128425900195e-08,1.5300135905990635e-06,0.0,2.5662118000440852e-06,0.0,0.0,5.8463170447295435e-09,0.0,0.0,5.541150542304796e-08
2017-01-01 18:00:00,4.340829701402601e-07,4.945908020080525e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8939947501532437e-06,2.0696141046435058e-08,1.7495390272088247e-06,0.0,2.5553657188340777e-06,0.0,0.0,5.1074821809286864e-09,0.0,0.0,7.200863006574995e-08
2017-01-01 19:00:00,4.188508056713315e-07,4.772353908096549e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1194668260315324e-06,2.23395722083856e-08,1.1232254957027148e-06,0.0,2.7407203298815227e-06,0.0,0.0,2.595348819551384e-09,0.0,0.0,6.96904870462428e-08
2017-01-01 20:00:00,3.872525232033814e-07,4.4123255047051264e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6712861424289018e-06,2.3206585452659106e-08,1.238998570241541e-06,0.0,2.846939575512152e-06,0.0,0.0,1.8683655010660406e-09,0.0,0.0,8.651281703188616e-08
