,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2017-01-01 00:00:00,7.78336964256657e-05,0.00010246654035197877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010650164365356444,5.4163717347989e-06,0.00019695646316758667,0.0,0.0005257216308444284,0.0,0.0,7.842854317799361e-08,0.0,0.0,1.7036394373536182e-05
2017-01-01 01:00:00,7.503486218786746e-05,9.878192977152479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010812009155218466,5.399171902469525e-06,0.00013141242306697964,0.0,0.0005215767133925889,0.0,0.0,7.212601555198688e-08,0.0,0.0,1.438163780192666e-05
2017-01-01 02:00:00,7.530952139494598e-05,9.914351325037232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011432694764941288,5.45029561445715e-06,0.00011680060305003219,0.0,0.0005366683678589766,0.0,0.0,6.109236145079296e-08,0.0,0.0,1.2195634942055762e-05
2017-01-01 03:00:00,6.818342743436424e-05,8.976214980631052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010689110285289569,5.349864385032475e-06,0.00011052572248055504,0.0,0.0005334559313712356,0.0,0.0,5.2209671881031116e-08,0.0,0.0,1.0093493087157752e-05
2017-01-01 04:00:00,6.878088662654976e-05,9.05486931575338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.735012138192931e-05,5.461563056798826e-06,0.00010114920225430376,0.0,0.0005443749704821518,0.0,0.0,8.151968640194001e-08,0.0,0.0,1.3774506746031e-05
2017-01-01 05:00:00,7.185569229985532e-05,9.459661473991885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.546514958500243e-05,5.742231369978407e-06,0.00010548585149119793,0.0,0.0005699202777881285,0.0,0.0,1.6223699836431617e-07,0.0,0.0,1.563788225826367e-05
2017-01-01 06:00:00,7.81239593516002e-05,0.00010284866582177906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.436918734510095e-05,5.737156837236608e-06,0.00011683711389135694,0.0,0.0005746601930846285,0.0,0.0,2.4971401508222285e-07,0.0,0.0,1.6507894436189877e-05
2017-01-01 07:00:00,7.45719612016604e-05,9.81725296689939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8086843579500735e-05,5.584166734869767e-06,0.00010373745946668026,0.0,0.0005559559160384077,0.0,0.0,2.855260647148631e-06,0.0,0.0,1.4941537579228225e-05
2017-01-01 08:00:00,7.133961102886659e-05,9.391720383169901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0319726968673307e-05,5.289175692837506e-06,0.00013581345753439197,0.0,0.0005281052149664923,0.0,0.0,5.587707324963857e-05,0.0,0.0,1.3708441508725597e-05
2017-01-01 09:00:00,6.789440969319423e-05,8.938166359791982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.394179366636881e-05,5.2643481419946485e-06,0.00013378257575494647,0.0,0.0005257168345521778,0.0,0.0,0.00015259529626362114,0.0,0.0,3.27135986878495e-05
2017-01-01 10:00:00,7.216631038919983e-05,9.500553738457659e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.854555370766273e-05,5.514871942872789e-06,0.00015199464431754332,0.0,0.0005419775107103994,0.0,0.0,0.00022820406045570918,0.0,0.0,2.3520306880018987e-05
2017-01-01 11:00:00,7.220280653597669e-05,9.505358384861644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.362047652132906e-05,5.545709427311855e-06,9.527291202374557e-05,0.0,0.0005419029114140865,0.0,0.0,0.0003115306708015127,0.0,0.0,1.3662401435992963e-05
2017-01-01 12:00:00,7.417288423831208e-05,9.764715264533514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524081130278529e-05,5.598653476817032e-06,0.00010362563643043419,0.0,0.0005517748476907818,0.0,0.0,0.0003060929757746559,0.0,0.0,1.1953602607390671e-05
2017-01-01 13:00:00,7.169980049148861e-05,9.43913862205743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.512000996481726e-05,5.517227417437808e-06,0.0002004657028079247,0.0,0.000547557017692155,0.0,0.0,0.0002265524888111977,0.0,0.0,1.2940675660251846e-05
2017-01-01 14:00:00,7.288190064943742e-05,9.594759797842422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.093588838118437e-05,5.6567973284984326e-06,0.00017555186583696042,0.0,0.0005558490336540613,0.0,0.0,0.00010863787982912004,0.0,0.0,1.4609040279318192e-05
2017-01-01 15:00:00,7.844772915240835e-05,0.00010327490243757367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.859030714554591e-05,5.898100959418836e-06,0.0001439895202335287,0.0,0.0005683341781044244,0.0,0.0,2.4262446543136634e-05,0.0,0.0,1.893752775783813e-05
2017-01-01 16:00:00,7.726888360934871e-05,0.00010172297531662508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011834833218736571,5.424599175662153e-06,0.00020071066199876448,0.0,0.0005114625932700784,0.0,0.0,1.2956216062594032e-06,0.0,0.0,1.6524787489431537e-05
2017-01-01 17:00:00,8.04295991240255e-05,0.00010588399552636238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017293221528110825,5.064087367023067e-06,0.000322198822611055,0.0,0.00047458279733193087,0.0,0.0,3.2317213030551827e-07,0.0,0.0,1.4090142083151214e-05
2017-01-01 18:00:00,9.141162062484699e-05,0.0001203416122262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001710784789915907,5.035692071665313e-06,0.00036842771733685203,0.0,0.0004725769755362996,0.0,0.0,2.8233089041864584e-07,0.0,0.0,1.8310490232908774e-05
2017-01-01 19:00:00,8.820394620426543e-05,0.00011611877153457229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019144464937997916,5.435564359643732e-06,0.00023653510953483347,0.0,0.0005068555607285885,0.0,0.0,1.4346543310655058e-07,0.0,0.0,1.772102845480781e-05
2017-01-01 20:00:00,8.154980308406034e-05,0.00010735872214920728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015096192382968622,5.646522127588059e-06,0.00026091525134250623,0.0,0.0005264992342246755,0.0,0.0,1.032793217591883e-07,0.0,0.0,2.1998642243816684e-05
2017-01-01 21:00:00,7.546967416999178e-05,9.935435124908384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014915190859012304,5.651300450041462e-06,0.00019662146812751615,0.0,0.0005286190286105378,0.0,0.0,7.959746096825068e-08,0.0,0.0,2.9790226694603184e-05
2017-01-01 22:00:00,7.750424901523582e-05,0.00010203282927406655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.644825754646592e-05,5.64018766258168e-06,0.00010736102298390763,0.0,0.0005296264723889058,0.0,0.0,7.764918089909032e-08,0.0,0.0,2.6879548373707928e-05
2017-01-01 23:00:00,7.800822856937529e-05,0.00010269630850854084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014079329490251187,6.247000927411506e-06,0.00012252556491424194,0.0,0.0005867422798927744,0.0,0.0,1.954610380584053e-08,0.0,0.0,2.7356532194180574e-05
2017-01-02 00:00:00,0.00013086782627262034,8.795803404388773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012058586725149555,6.251950727489738e-06,0.0001026588680373436,0.0,0.000594966606328885,0.0,0.0,8.008736518027803e-08,0.0,0.0,2.6191746677488296e-05
2017-01-02 01:00:00,0.0001271524998463511,8.546091295925093e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001577155513508222,5.8198898021094155e-06,0.0001027929133650481,0.0,0.0005962619969424734,0.0,0.0,7.862298191486701e-08,0.0,0.0,2.1111375115284173e-05
2017-01-02 02:00:00,0.00011797421966718436,7.929206685354935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013027354832142497,5.7716774418803645e-06,0.00010126414786910682,0.0,0.0005988768651062535,0.0,0.0,7.47936598008872e-08,0.0,0.0,1.785087533963154e-05
2017-01-02 03:00:00,0.00011612505127970031,7.804921579831459e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014037690963136212,5.783068929220207e-06,0.00010046691856974065,0.0,0.0005929993097021571,0.0,0.0,6.923907785659557e-08,0.0,0.0,1.832334332635884e-05
2017-01-02 04:00:00,0.00011842927853117318,7.959791806381792e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001450209265077266,5.792098184307621e-06,0.00010682175297519195,0.0,0.0005823544587952834,0.0,0.0,9.863396814892476e-08,0.0,0.0,1.8419026065453416e-05
2017-01-02 05:00:00,0.00014442867129182258,9.707246118641623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017018278420721653,5.977084023647658e-06,9.806181831655855e-05,0.0,0.0005989075327012763,0.0,0.0,2.272977050105946e-07,0.0,0.0,1.592630369772782e-05
2017-01-02 06:00:00,0.00018646301226158513,0.0001253243096302708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021275417909020526,5.855671720506158e-06,0.00017631840558684762,0.0,0.0005907058645065417,0.0,0.0,2.6352573475710787e-07,0.0,0.0,1.3554200757281402e-05
2017-01-02 07:00:00,0.0002031155055242683,0.0001365166753249789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025184738659018914,5.210259394096463e-06,0.0003660863362142864,0.0,0.0005309053778234763,0.0,0.0,2.8750545654228618e-06,0.0,0.0,1.0013681572658217e-05
2017-01-02 08:00:00,0.00019832745301417434,0.00013329856054702393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019429032281660866,5.101154565963274e-06,0.00035148628067712095,0.0,0.0005127240467209727,0.0,0.0,4.383459002695127e-05,0.0,0.0,7.913919752633777e-06
2017-01-02 09:00:00,0.00019447498198764686,0.00013070926272374913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002030064247692046,5.037078165058574e-06,0.00034557363301399393,0.0,0.0005053864537841086,0.0,0.0,0.0001473348069632948,0.0,0.0,7.812861103259668e-06
2017-01-02 10:00:00,0.0001970945556676061,0.00013246991358412442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018088063426745693,5.0785073832021384e-06,0.0003584915541804485,0.0,0.0005074542211184464,0.0,0.0,0.00017508314179288535,0.0,0.0,6.475935977555457e-06
2017-01-02 11:00:00,0.0001837767576301943,0.00012351884160158804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020340420169810913,4.957637959405865e-06,0.00032726710241031266,0.0,0.0004974307110349528,0.0,0.0,0.00021116684048011003,0.0,0.0,6.761426162482608e-06
2017-01-02 12:00:00,0.00019722928058087642,0.00013256046401844814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004136374335238959,5.085317754579332e-06,0.00035557675914689316,0.0,0.0005111028751778904,0.0,0.0,0.00019787251856655008,0.0,0.0,1.3476591859081358e-05
2017-01-02 13:00:00,0.0001793210057524008,0.00012052407056793732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033886664597812934,5.3710613026636e-06,0.0003281086862115214,0.0,0.0005200648031133825,0.0,0.0,0.00016025204049608164,0.0,0.0,9.835004845598317e-06
2017-01-02 14:00:00,0.0001831346458514097,0.00012308726960022644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021665200419826694,5.982704539810952e-06,0.00019948230309666413,0.0,0.0005563279917814267,0.0,0.0,7.12505851699213e-05,0.0,0.0,7.307140629070266e-06
2017-01-02 15:00:00,0.00018948563845827296,0.00012735585753232255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029177392118515886,5.637732181758863e-06,0.00030232601617190204,0.0,0.0005061251138749418,0.0,0.0,1.858900191576492e-05,0.0,0.0,9.170105116527499e-06
