,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2017-01-01 00:00:00,0.0,0.0,0.0,1.3559018669727367e-06,0.0,0.0,1.2110337810666778e-05,2.8373934897081772e-05,7.286666292015877e-06,0.0,0.0,0.0,5.520940901394521e-07,3.480590997204137e-07,2.825562900979952e-07,0.0,1.934263796398252e-05,0.0,0.0,0.0,0.0,0.0,2.9364034014446734e-07
2017-01-01 01:00:00,0.0,0.0,0.0,1.3666865933878798e-06,0.0,0.0,1.1599507219876342e-05,2.8957458036492002e-05,7.344623806753496e-06,0.0,0.0,0.0,8.480360478710509e-07,3.298791686401315e-07,2.8151471057149596e-07,0.0,1.9438682325347454e-05,0.0,0.0,0.0,0.0,0.0,2.9317047101164833e-07
2017-01-01 02:00:00,0.0,0.0,0.0,1.4186329851259737e-06,0.0,0.0,1.074867663068523e-05,2.8715202082512628e-05,7.623785618452242e-06,0.0,0.0,0.0,1.1829012484669924e-06,3.4193964313957825e-07,2.832371958661121e-07,0.0,2.0120562880554498e-05,0.0,0.0,0.0,0.0,0.0,2.955773124171339e-07
2017-01-01 03:00:00,0.0,0.0,0.0,1.436816538085531e-06,0.0,0.0,1.0482010247753564e-05,2.9459465154329405e-05,7.7215046980161e-06,0.0,0.0,0.0,1.5045745693747487e-06,3.30349562776907e-07,2.2104175686985754e-07,0.0,2.0418462891462743e-05,0.0,0.0,0.0,0.0,0.0,3.131298718410047e-07
2017-01-01 04:00:00,0.0,0.0,0.0,1.4379395143318724e-06,0.0,0.0,1.0550036097413557e-05,3.0409247892187463e-05,7.727539613492113e-06,0.0,0.0,0.0,1.8125013610394825e-06,3.055396943633204e-07,2.0211778293294352e-07,0.0,2.0452513134154135e-05,0.0,0.0,0.0,0.0,0.0,3.261654057530501e-07
2017-01-01 05:00:00,0.0,0.0,0.0,1.4418934879023157e-06,0.0,0.0,1.0471402717032694e-05,2.918602860689673e-05,7.715388462218145e-06,0.0,0.0,0.0,2.1250796315367365e-06,3.0407259192596834e-07,1.8339579247133442e-07,0.0,2.04755573712837e-05,0.0,0.0,0.0,0.0,0.0,3.369284110340622e-07
2017-01-01 06:00:00,0.0,0.0,0.0,1.435887974729269e-06,0.0,0.0,1.051565388517387e-05,2.8804189435162947e-05,7.716514564531601e-06,0.0,0.0,0.0,2.422541719209462e-06,3.124804409882157e-07,1.8173606358390864e-07,0.0,2.0386432481039883e-05,0.0,0.0,0.0,0.0,0.0,3.6794772819556045e-07
2017-01-01 07:00:00,0.0,0.0,0.0,1.4249518573190996e-06,0.0,0.0,1.0470441996564738e-05,2.864220802726391e-05,7.657743469042128e-06,0.0,0.0,0.0,3.4092430981656955e-06,3.2522150388909655e-07,1.7171534135767172e-07,0.0,2.0225442002284295e-05,0.0,0.0,2.8821179688996954e-07,0.0,0.0,3.9049588128580247e-07
2017-01-01 08:00:00,0.0,0.0,0.0,1.3969172137094422e-06,0.0,0.0,1.0480599061558738e-05,2.958890452181911e-05,7.500953254976019e-06,0.0,0.0,0.0,2.8016966796724744e-06,3.212403978251747e-07,2.157825862083408e-07,0.0,1.991398167049405e-05,0.0,0.0,1.2114585971955384e-06,0.0,0.0,3.9902390840157183e-07
2017-01-01 09:00:00,0.0,0.0,0.0,1.3683741318454085e-06,0.0,0.0,1.025468612239055e-05,2.9343855422829837e-05,7.379495130756224e-06,0.0,0.0,0.0,2.25521328762461e-06,3.2219360183847293e-07,2.523753323212338e-07,0.0,1.9517741311297398e-05,0.0,0.0,2.8194763573961183e-06,0.0,0.0,4.0731356687476743e-07
2017-01-01 10:00:00,0.0,0.0,0.0,1.3450855798888367e-06,0.0,0.0,1.0131370429136018e-05,2.955128672191678e-05,7.2539024644186085e-06,0.0,0.0,0.0,2.1807068646283198e-06,3.1955212261240434e-07,2.8008269724923473e-07,0.0,1.9203271653162505e-05,0.0,0.0,3.858026187148282e-06,0.0,0.0,4.188534787002915e-07
2017-01-01 11:00:00,0.0,0.0,0.0,1.3282277240557744e-06,0.0,0.0,9.995422910035527e-06,2.9587170174414954e-05,7.137944434435079e-06,0.0,0.0,0.0,1.9124774441251947e-06,3.396128226248616e-07,3.1396285881894436e-07,0.0,1.8915140449414483e-05,0.0,0.0,4.371640575036317e-06,0.0,0.0,4.2215506543747103e-07
2017-01-01 12:00:00,0.0,0.0,0.0,1.324309814395856e-06,0.0,0.0,9.898442364971394e-06,2.8532756955778143e-05,7.141860986342419e-06,0.0,0.0,0.0,1.4153656196447947e-06,3.522226536706904e-07,4.1043673471250413e-07,0.0,1.8891366489172996e-05,0.0,0.0,4.2844407010284935e-06,0.0,0.0,4.314800624107941e-07
2017-01-01 13:00:00,0.0,0.0,0.0,1.3802480386629696e-06,0.0,0.0,1.008940079116443e-05,2.6976186007865483e-05,7.443529838446199e-06,0.0,0.0,0.0,1.1311358663480799e-06,3.6173443178754585e-07,3.397496011446491e-07,0.0,1.925996199910181e-05,0.0,0.0,3.718348092749225e-06,0.0,0.0,4.482839581769287e-07
2017-01-01 14:00:00,0.0,0.0,0.0,1.4036311122591207e-06,0.0,0.0,1.0782652599222486e-05,2.9504160377050345e-05,7.569632249862151e-06,0.0,0.0,0.0,1.4372002885190046e-06,3.469842808108225e-07,3.0646025086778326e-07,0.0,1.9392437825097256e-05,0.0,0.0,2.2129768240569765e-06,0.0,0.0,4.423852008829928e-07
2017-01-01 15:00:00,0.0,0.0,0.0,1.4299201642583395e-06,0.0,0.0,1.1702862217657793e-05,2.9536540113188024e-05,7.711406291555558e-06,0.0,0.0,0.0,9.002783006429147e-07,3.4006883046663267e-07,2.839344913291418e-07,0.0,1.975602906665959e-05,0.0,0.0,7.53429210253631e-07,0.0,0.0,4.496889199925246e-07
2017-01-01 16:00:00,0.0,0.0,0.0,1.39199270349284e-06,0.0,0.0,1.1782231202889704e-05,3.0216083707063294e-05,7.474510370189528e-06,0.0,0.0,0.0,2.1048800285183456e-06,3.651653957293979e-07,3.335516241837698e-07,0.0,1.9298577585705057e-05,0.0,0.0,1.969171716961161e-07,0.0,0.0,4.616565567506094e-07
2017-01-01 17:00:00,0.0,0.0,0.0,1.3331777045500609e-06,0.0,0.0,1.1633037627184771e-05,2.7716306940841996e-05,7.183901219386977e-06,0.0,0.0,0.0,1.127975977872372e-06,4.065979544124466e-07,4.483855853309859e-07,0.0,1.8564421381939487e-05,0.0,0.0,0.0,0.0,0.0,4.427886895031957e-07
2017-01-01 18:00:00,0.0,0.0,0.0,1.3109105374315728e-06,0.0,0.0,1.1725427277300167e-05,2.850901815465602e-05,7.06960012082881e-06,0.0,0.0,0.0,1.1090166162032507e-06,4.094830799933843e-07,4.728840477260787e-07,0.0,1.8211431427739436e-05,0.0,0.0,0.0,0.0,0.0,4.343154617534618e-07
2017-01-01 19:00:00,0.0,0.0,0.0,1.3237660175282657e-06,0.0,0.0,1.1630525059533052e-05,2.815470024816357e-05,7.11396706014954e-06,0.0,0.0,0.0,2.7428095391740087e-06,3.7403610317287633e-07,4.1933476174344023e-07,0.0,1.8365056259602047e-05,0.0,0.0,0.0,0.0,0.0,4.3885268001621896e-07
2017-01-01 20:00:00,0.0,0.0,0.0,1.3608759122695666e-06,0.0,0.0,1.1964897725389812e-05,2.6751251623422075e-05,7.313396993611777e-06,0.0,0.0,0.0,9.414176671535763e-07,3.8108332674652123e-07,3.6170822161400993e-07,0.0,1.8919967552481934e-05,0.0,0.0,0.0,0.0,0.0,4.297382172218284e-07
2017-01-01 21:00:00,0.0,0.0,0.0,1.3560782805575442e-06,0.0,0.0,1.194123455247221e-05,2.5955635937879682e-05,7.31318492173106e-06,0.0,0.0,0.0,9.956951173857672e-07,3.808430597899689e-07,3.1475708144559803e-07,0.0,1.8919783206792718e-05,0.0,0.0,0.0,0.0,0.0,3.9201417808871674e-07
2017-01-01 22:00:00,0.0,0.0,0.0,1.3667907182816744e-06,0.0,0.0,1.1990137333825856e-05,2.5959090666088654e-05,7.313523104566304e-06,0.0,0.0,0.0,1.4912593414848768e-06,3.6259544643169143e-07,2.954241386964566e-07,0.0,1.899927276472027e-05,0.0,0.0,0.0,0.0,0.0,3.6286701476784716e-07
2017-01-01 23:00:00,0.0,0.0,0.0,1.4228952407794148e-06,0.0,0.0,1.2861631256179337e-05,2.7838460772106566e-05,7.673521631651364e-06,0.0,0.0,0.0,1.4159811062553634e-06,3.3190435664388255e-07,2.834304661915255e-07,0.0,1.9737712869574495e-05,0.0,0.0,0.0,0.0,0.0,3.50753726565843e-07
2017-01-02 00:00:00,0.0,0.0,0.0,1.4727305384888167e-06,0.0,0.0,1.274596956091049e-05,2.6908448496346185e-05,7.942278054494839e-06,0.0,0.0,0.0,9.471493993666358e-07,3.4153745956297486e-07,2.089199257053534e-07,0.0,2.0453532845140283e-05,0.0,0.0,0.0,0.0,0.0,3.5393723621414077e-07
2017-01-02 01:00:00,0.0,0.0,0.0,1.482713911451067e-06,0.0,0.0,1.2914525914730065e-05,2.4308464631452455e-05,7.968158863439889e-06,0.0,0.0,0.0,1.1721907401474223e-06,3.336595711339703e-07,2.2241992628769273e-07,0.0,2.054360105902619e-05,0.0,0.0,0.0,0.0,0.0,3.2566878965723746e-07
2017-01-02 02:00:00,0.0,0.0,0.0,1.4845197282264809e-06,0.0,0.0,1.292822113064768e-05,2.670379066516498e-05,8.005855892046713e-06,0.0,0.0,0.0,1.4007413331098097e-06,3.2783576240416466e-07,1.9319787892033983e-07,0.0,2.0766810960369557e-05,0.0,0.0,0.0,0.0,0.0,3.1039033448719303e-07
