,Carbon intensity,Human carcinogenic toxicity,Fine particulate matter formation,Land use
2017-01-01 00:00:00,1.1424367,0.05098064,0.0015601814,0.0110503845
2017-01-01 01:00:00,1.1505421,0.051296342,0.0015718988,0.011179176
2017-01-01 02:00:00,1.1376591,0.051779915,0.0015736629,0.011500717
2017-01-01 03:00:00,1.0825245,0.049102657,0.0014827934,0.011182695
2017-01-01 04:00:00,1.0917329,0.049450755,0.001495092,0.011217651
2017-01-01 05:00:00,1.1260662,0.051381018,0.0015564825,0.011484058
2017-01-01 06:00:00,1.1188927,0.05101261,0.0015446561,0.011391246
2017-01-01 07:00:00,1.0623343,0.049012586,0.0014772275,0.0116962865
2017-01-01 08:00:00,0.9659639,0.04553837,0.0013580191,0.012321535
2017-01-01 09:00:00,0.8896979,0.04256075,0.0012587941,0.0128624225
2017-01-01 10:00:00,0.86203235,0.041439373,0.0012246514,0.013129642
2017-01-01 11:00:00,0.8879222,0.042345632,0.0012568106,0.013109644
2017-01-01 12:00:00,0.90086985,0.042905595,0.0012750537,0.013087508
2017-01-01 13:00:00,0.96390426,0.045443658,0.0013586838,0.012646806
2017-01-01 14:00:00,1.0705628,0.04958459,0.0015016329,0.012062052
2017-01-01 15:00:00,1.1174878,0.05083358,0.0015531051,0.011299705
2017-01-01 16:00:00,1.0707493,0.048172493,0.0014635557,0.01077958
2017-01-01 17:00:00,1.0316329,0.046426572,0.0014107892,0.010402423
2017-01-01 18:00:00,1.0239885,0.046020664,0.0014012064,0.010372008
2017-01-01 19:00:00,1.0316378,0.046297442,0.0014121765,0.010373848
2017-01-01 20:00:00,1.0571154,0.0475373,0.001444707,0.010395075
2017-01-01 21:00:00,1.0813806,0.048443154,0.0014742336,0.010569392
2017-01-01 22:00:00,1.0892764,0.04885155,0.0014893308,0.010688851
2017-01-01 23:00:00,1.1714401,0.054739583,0.0016662795,0.01147333
2017-01-02 00:00:00,1.1346158,0.05255725,0.0015996536,0.011455763
2017-01-02 01:00:00,1.218805,0.058136296,0.0017681016,0.012263427
2017-01-02 02:00:00,1.1022829,0.051030535,0.0015471997,0.011329925
2017-01-02 03:00:00,1.1056272,0.05115601,0.0015477184,0.01135659
2017-01-02 04:00:00,1.1160288,0.051480886,0.0015574158,0.011323247
2017-01-02 05:00:00,1.1325952,0.051583357,0.0015651982,0.011178727
2017-01-02 06:00:00,1.1239152,0.050645765,0.00153985,0.010946564
2017-01-02 07:00:00,1.1202967,0.052073017,0.0015759731,0.011459932
2017-01-02 08:00:00,0.98602796,0.044409472,0.0013350493,0.010980225
2017-01-02 09:00:00,0.9451989,0.043080524,0.001283693,0.011431127
2017-01-02 10:00:00,0.9460886,0.043718826,0.0012955155,0.011728936
2017-01-02 11:00:00,0.9421975,0.043695476,0.0012974313,0.011754497
2017-01-02 12:00:00,0.9477011,0.044133067,0.0013140504,0.011741181
2017-01-02 13:00:00,0.99008995,0.0457133,0.0013690366,0.011286276
2017-01-02 14:00:00,1.0222937,0.04658543,0.0014046377,0.010740468
2017-01-02 15:00:00,1.0003489,0.045161862,0.0013639431,0.010097874
2017-01-02 16:00:00,0.9648142,0.043244038,0.001309949,0.009658461
2017-01-02 17:00:00,0.95411056,0.04279803,0.0012963224,0.009521023
2017-01-02 18:00:00,1.0394658,0.04840572,0.0014610983,0.0102460515
2017-01-02 19:00:00,1.0597067,0.049804647,0.0015030593,0.010560021
2017-01-02 20:00:00,1.0203698,0.04638697,0.0014041156,0.01003772
2017-01-02 21:00:00,1.0283264,0.046965975,0.0014156017,0.010169
2017-01-02 22:00:00,1.0500816,0.048302054,0.0014626393,0.01052625
2017-01-02 23:00:00,1.0410559,0.04759635,0.0014475635,0.010215942
2017-01-03 00:00:00,1.0312927,0.046818264,0.0014267911,0.010401951
2017-01-03 01:00:00,1.0109358,0.0458752,0.0013876411,0.010269626
2017-01-03 02:00:00,0.9966199,0.045345746,0.0013666532,0.009996492
2017-01-03 03:00:00,0.99788076,0.04611758,0.0013722556,0.010251116
2017-01-03 04:00:00,1.0335234,0.047526725,0.0014191974,0.0103190085
2017-01-03 05:00:00,1.0126122,0.04611201,0.0013752037,0.010019111
2017-01-03 06:00:00,0.9845822,0.04380937,0.0013181485,0.009817249
2017-01-03 07:00:00,0.94734687,0.041887343,0.0012605238,0.009634413
2017-01-03 08:00:00,0.9165115,0.040852364,0.0012219461,0.009678086
2017-01-03 09:00:00,0.88575315,0.039519683,0.0011760343,0.009818197
2017-01-03 10:00:00,0.85827804,0.038222186,0.0011362811,0.010209772
2017-01-03 11:00:00,0.86319435,0.038196355,0.0011363607,0.010248498
2017-01-03 12:00:00,0.88279724,0.039052647,0.0011651864,0.010287368
2017-01-03 13:00:00,0.9340937,0.04110656,0.0012325239,0.010187636
2017-01-03 14:00:00,0.9815175,0.04284561,0.0012955754,0.009981107
2017-01-03 15:00:00,1.0149438,0.044008613,0.0013411058,0.009716394
2017-01-03 16:00:00,1.0003089,0.04345716,0.0013259223,0.00951902
2017-01-03 17:00:00,0.97641104,0.042382643,0.0012897598,0.009261219
2017-01-03 18:00:00,0.9650638,0.041918416,0.0012742393,0.009227501
2017-01-03 19:00:00,0.9788864,0.04311076,0.0013027712,0.009230944
2017-01-03 20:00:00,0.999891,0.044342965,0.0013382669,0.009648719
2017-01-03 21:00:00,1.0056938,0.044901535,0.0013573082,0.009789721
2017-01-03 22:00:00,1.0156156,0.04507739,0.0013692484,0.009814328
2017-01-03 23:00:00,1.0316958,0.046494238,0.0014017974,0.010071347
2017-01-04 00:00:00,1.045581,0.047343507,0.0014212615,0.010311146
2017-01-04 01:00:00,1.0506068,0.047394395,0.0014200693,0.010385466
2017-01-04 02:00:00,1.0525156,0.047684714,0.0014273677,0.010559141
2017-01-04 03:00:00,1.0653571,0.04847666,0.0014549461,0.010748947
2017-01-04 04:00:00,1.0916805,0.048984982,0.0014843849,0.010705185
2017-01-04 05:00:00,1.0761698,0.04755881,0.0014453956,0.010392609
2017-01-04 06:00:00,1.0682652,0.04670188,0.0014258208,0.010314407
2017-01-04 07:00:00,1.0115975,0.044301152,0.0013519771,0.010157741
2017-01-04 08:00:00,0.9663056,0.042778105,0.0013020668,0.010502928
2017-01-04 09:00:00,0.941536,0.042076893,0.0012778735,0.011017502
2017-01-04 10:00:00,0.9386794,0.042575456,0.0012943575,0.011491971
2017-01-04 11:00:00,0.9411078,0.042528395,0.0012907889,0.011516545
2017-01-04 12:00:00,0.92326903,0.04129729,0.0012526024,0.01123334
2017-01-04 13:00:00,0.9591911,0.042496327,0.0012934139,0.010790821
2017-01-04 14:00:00,1.00093,0.043965764,0.001341674,0.010242574
2017-01-04 15:00:00,1.0099263,0.044112436,0.0013519351,0.009787714
2017-01-04 16:00:00,0.97601354,0.04293589,0.0013069039,0.009536995
2017-01-04 17:00:00,0.9379236,0.04160038,0.0012559305,0.009147114
2017-01-04 18:00:00,0.94102955,0.04181637,0.0012619982,0.009197517
2017-01-04 19:00:00,0.9612196,0.04296002,0.0012968058,0.009311929
2017-01-04 20:00:00,0.96531653,0.043655798,0.0013099499,0.009425653
2017-01-04 21:00:00,0.9655446,0.0442827,0.0013211311,0.009517577
2017-01-04 22:00:00,0.9282864,0.042994533,0.0012609739,0.00937007
2017-01-04 23:00:00,0.8858615,0.041725695,0.0011943473,0.009147874
2017-01-05 00:00:00,0.8540374,0.04039489,0.0011438786,0.0089924205
2017-01-05 01:00:00,0.86811155,0.040581685,0.0011572199,0.009022754
2017-01-05 02:00:00,0.86661917,0.04050156,0.0011555633,0.009090592
2017-01-05 03:00:00,0.8653121,0.040552087,0.0011527926,0.009234132
2017-01-05 04:00:00,0.9128517,0.042050317,0.0012151939,0.009487744
2017-01-05 05:00:00,0.903702,0.041177463,0.00119725,0.009232515
2017-01-05 06:00:00,0.9246328,0.041578297,0.0012290064,0.009136207
2017-01-05 07:00:00,0.8812269,0.039639443,0.0011689704,0.008987564
2017-01-05 08:00:00,0.82697713,0.037700433,0.0011038383,0.009092488
2017-01-05 09:00:00,0.8075594,0.036827583,0.0010726803,0.009430231
2017-01-05 10:00:00,0.77798516,0.035891443,0.0010311338,0.009698325
2017-01-05 11:00:00,0.777903,0.035932213,0.001031893,0.010008249
2017-01-05 12:00:00,0.78772986,0.03638784,0.0010424118,0.009854999
2017-01-05 13:00:00,0.8288167,0.038093727,0.0011005924,0.0095727565
2017-01-05 14:00:00,0.8623575,0.03924849,0.0011446134,0.009213247
2017-01-05 15:00:00,0.8927215,0.039992742,0.0011804089,0.009032737
2017-01-05 16:00:00,0.87173164,0.038715802,0.0011519574,0.008691911
2017-01-05 17:00:00,0.8640802,0.038505584,0.001144822,0.008661324
2017-01-05 18:00:00,0.858022,0.038180854,0.0011309383,0.0086319605
2017-01-05 19:00:00,0.8849968,0.039902247,0.0011826644,0.008902096
2017-01-05 20:00:00,0.9080619,0.041277345,0.0012211357,0.009064242
2017-01-05 21:00:00,0.9178465,0.04227723,0.0012467748,0.009262729
2017-01-05 22:00:00,0.9127064,0.042610686,0.00124943,0.00929872
2017-01-05 23:00:00,0.9055465,0.04340369,0.0012511942,0.009516771
2017-01-06 00:00:00,0.9252446,0.044916533,0.0012939667,0.009816352
2017-01-06 01:00:00,0.9157223,0.044610232,0.0012789945,0.009832178
2017-01-06 02:00:00,0.8997674,0.04412623,0.0012581694,0.009757442
2017-01-06 03:00:00,0.89795464,0.0444079,0.0012589229,0.00979172
2017-01-06 04:00:00,0.9025612,0.043839693,0.0012486625,0.009768951
2017-01-06 05:00:00,0.9098361,0.0439316,0.0012592272,0.009682661
2017-01-06 06:00:00,0.9439094,0.045415636,0.0013197112,0.009773234
2017-01-06 07:00:00,0.9223913,0.04397524,0.0012813131,0.009757653
2017-01-06 08:00:00,0.85611856,0.040929437,0.0011860366,0.009971142
2017-01-06 09:00:00,0.79463714,0.03859663,0.0011037973,0.010678422
2017-01-06 10:00:00,0.7654676,0.037579976,0.0010668584,0.01103134
2017-01-06 11:00:00,0.7520223,0.036848087,0.0010397558,0.010937351
2017-01-06 12:00:00,0.75661516,0.0371068,0.0010407422,0.010832844
2017-01-06 13:00:00,0.8055903,0.038589045,0.0010977578,0.01038066
2017-01-06 14:00:00,0.89189434,0.04182928,0.0012143216,0.009931684
2017-01-06 15:00:00,0.93631226,0.04323827,0.0012708879,0.009457484
2017-01-06 16:00:00,0.88940406,0.04069294,0.0012004045,0.0091125835
2017-01-06 17:00:00,0.89137477,0.040754255,0.0012099053,0.009244025
2017-01-06 18:00:00,0.90173,0.041233663,0.0012267529,0.009352657
2017-01-06 19:00:00,0.9144852,0.041808687,0.0012505286,0.009600142
2017-01-06 20:00:00,0.92405987,0.042580966,0.0012655555,0.009493429
2017-01-06 21:00:00,0.95702404,0.044519763,0.0013216116,0.009783708
2017-01-06 22:00:00,0.93110377,0.042760726,0.0012665105,0.009409107
2017-01-06 23:00:00,0.9440768,0.04373468,0.0012958011,0.009612735
2017-01-07 00:00:00,0.93612957,0.043947116,0.0012894305,0.009676195
2017-01-07 01:00:00,0.9394431,0.04343833,0.0012765811,0.009683972
2017-01-07 02:00:00,0.91004,0.04166693,0.0012165341,0.009447192
2017-01-07 03:00:00,0.9144637,0.04215944,0.0012280113,0.009530705
2017-01-07 04:00:00,0.9295752,0.04281356,0.0012554846,0.0095962165
2017-01-07 05:00:00,0.93979543,0.043866757,0.0012917756,0.009718413
2017-01-07 06:00:00,0.97863626,0.045574617,0.0013509139,0.009933794
2017-01-07 07:00:00,0.91875225,0.042823717,0.001260635,0.00970362
2017-01-07 08:00:00,0.84378827,0.039791703,0.0011583385,0.009892669
2017-01-07 09:00:00,0.8044266,0.038447008,0.001111863,0.010468878
2017-01-07 10:00:00,0.7512585,0.03621082,0.0010377266,0.010678265
2017-01-07 11:00:00,0.76896155,0.036987122,0.0010650211,0.010781257
2017-01-07 12:00:00,0.75179243,0.036202952,0.0010426439,0.010794303
2017-01-07 13:00:00,0.83918345,0.03963448,0.0011515174,0.0104988115
2017-01-07 14:00:00,0.9125841,0.042397764,0.0012453946,0.01000617
2017-01-07 15:00:00,0.94552994,0.04388476,0.0012960776,0.009683746
2017-01-07 16:00:00,0.9358652,0.04292387,0.0012789383,0.009484875
2017-01-07 17:00:00,0.9164381,0.04218458,0.001256611,0.009376997
2017-01-07 18:00:00,0.90803045,0.0418486,0.0012457956,0.009299846
2017-01-07 19:00:00,0.92633086,0.04269084,0.0012725913,0.0094482275
2017-01-07 20:00:00,0.9615996,0.04459859,0.0013293684,0.009701396
2017-01-07 21:00:00,0.96841246,0.044801984,0.0013368422,0.0097920215
2017-01-07 22:00:00,0.9566716,0.044154197,0.0013212374,0.009715645
2017-01-07 23:00:00,0.97580725,0.045419298,0.0013604243,0.009923474
