,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2017-01-01 00:00:00,0.0,0.0,0.0,3.782784628251387e-06,0.0,0.0,4.4692307377783726e-05,0.00011498164213306405,0.0,0.0,0.0,3.5537713736983397e-06,0.0,4.7665776943975e-07,8.256745597644625e-08,0.0,0.0,0.0013891380572210398,0.0,0.0,0.0,0.0,1.610423679955754e-06
2017-01-01 01:00:00,0.0,0.0,0.0,3.928875609569679e-06,0.0,0.0,4.4914261243361786e-05,0.0001209675976232515,0.0,0.0,0.0,3.7544573321884204e-06,0.0,4.2027730418477835e-07,7.963711067669493e-08,0.0,0.0,0.0013946305578345854,0.0,0.0,0.0,0.0,1.442938490941465e-06
2017-01-01 02:00:00,0.0,0.0,0.0,4.366214680875221e-06,0.0,0.0,4.029706776819198e-05,0.000133917593253529,0.0,0.0,0.0,4.172381197967263e-06,0.0,4.2582622319231015e-07,2.9772508489933786e-08,0.0,0.0,0.0013989450851484206,0.0,0.0,0.0,0.0,1.3673580903564196e-06
2017-01-01 03:00:00,0.0,0.0,0.0,4.578449527319571e-06,0.0,0.0,4.089590533022807e-05,0.00014037792742674468,0.0,0.0,0.0,4.3660067762174116e-06,0.0,4.4373355994676844e-07,3.0256694016036384e-08,0.0,0.0,0.0013047457536216518,0.0,0.0,0.0,0.0,1.3902465736918395e-06
2017-01-01 04:00:00,0.0,0.0,0.0,4.50206759878992e-06,0.0,0.0,4.122761769333701e-05,0.00013843867199560305,0.0,0.0,0.0,4.3084471956440655e-06,0.0,4.291417878361545e-07,3.0278335032911583e-08,0.0,0.0,0.0013166109476618875,0.0,0.0,0.0,0.0,1.2892455605595446e-06
2017-01-01 05:00:00,0.0,0.0,0.0,4.400946145036601e-06,0.0,0.0,3.979265267047954e-05,0.0001341148819604028,0.0,0.0,0.0,4.181910186532923e-06,0.0,4.281086040170559e-07,2.979725658288299e-08,0.0,0.0,0.001385394121535976,0.0,0.0,0.0,0.0,1.1472800197737418e-06
2017-01-01 06:00:00,0.0,0.0,0.0,4.287142305488322e-06,0.0,0.0,3.9619602406136314e-05,0.00013299657494807943,0.0,0.0,0.0,4.122998828607249e-06,0.0,4.643154652948111e-07,3.885868848037613e-08,0.0,0.0,0.0013695584800748944,0.0,4.30759773521847e-07,0.0,0.0,1.0000695317226678e-06
2017-01-01 07:00:00,0.0,0.0,0.0,4.271395550420506e-06,0.0,0.0,3.625709706721253e-05,0.00013096347377206715,0.0,0.0,0.0,4.055490718000824e-06,0.0,5.082645712421619e-07,9.104371422546831e-08,0.0,0.0,0.0012994179776945022,0.0,8.523339545369234e-06,0.0,0.0,8.660813346499214e-07
2017-01-01 08:00:00,0.0,0.0,0.0,4.085519330137976e-06,0.0,2.411661677587522e-06,3.1301399988467204e-05,0.00012390508721706357,4.0418581249660496e-07,0.0,0.0,3.846086410927999e-06,0.0,5.426621143086516e-07,7.816153450082337e-08,0.0,0.0,0.001171183266044682,0.0,2.364944623017626e-05,0.0,0.0,5.737848834461733e-07
2017-01-01 09:00:00,0.0,0.0,0.0,3.889827781355724e-06,0.0,2.0331701669388546e-06,2.8605609092415127e-05,0.00011124430055080022,1.6412887918247695e-06,0.0,0.0,3.669446007295448e-06,0.0,5.491750997310078e-07,5.844572560240045e-08,0.0,0.0,0.0010699880586648163,0.0,3.710891507066955e-05,0.0,0.0,4.696390082693729e-07
