,production,imports,exports
2019-01-01 00:00:00,4580.770012207329,4958.51,884.63
2019-01-01 01:00:00,4155.670112915337,4819.3,816.08997
2019-01-01 02:00:00,4090.5701220706105,4737.88,930.35
2019-01-01 03:00:00,3985.6700900271535,4644.65,933.98
2019-01-01 04:00:00,4036.0700953677297,4848.8604,954.38
2019-01-01 05:00:00,4225.070099182427,4889.39,1081.55
2019-01-01 06:00:00,4568.37009460479,5154.25,1181.84
2019-01-01 07:00:00,4627.269897766411,5192.84,1182.77
2019-01-01 08:00:00,4760.169884033501,5436.72,1246.8
2019-01-01 09:00:00,5095.869980163872,5497.9004,1277.89
2019-01-01 10:00:00,5177.169945068657,5504.42,1215.29
2019-01-01 11:00:00,5357.369957275689,5188.3496,1077.95
2019-01-01 12:00:00,5757.770103760064,4920.02,1058.0701
2019-01-01 13:00:00,5886.269966430962,5125.6396,1211.05
2019-01-01 14:00:00,6091.570091553032,5242.89,1376.0299
2019-01-01 15:00:00,6298.270027466118,5477.86,1438.6699
2019-01-01 16:00:00,6575.5701220706105,5046.82,1454.0901
2019-01-01 17:00:00,6773.0701220706105,4931.1396,1415.99
2019-01-01 18:00:00,6616.269951172173,4742.4697,1370.33
2019-01-01 19:00:00,6589.96995574981,4749.48,1413.89
2019-01-01 20:00:00,6283.270050354302,4639.54,1418.62
2019-01-01 21:00:00,6259.869888611138,4753.95,1369.6599
2019-01-01 22:00:00,6286.9701083377,4574.56,1296.67
2019-01-01 23:00:00,5926.569954223931,4360.46,1238.28
2019-01-02 00:00:00,5785.469948120415,4146.3,1191.72
2019-01-02 01:00:00,5653.769958801568,4214.76,1171.33
2019-01-02 02:00:00,5560.670051880181,4247.43,1207.85
2019-01-02 03:00:00,5814.969948120415,4119.84,1271.2101
2019-01-02 04:00:00,6540.769874878228,4140.91,1406.17
2019-01-02 05:00:00,7032.369995422661,4483.04,1526.3601
2019-01-02 06:00:00,7645.070076294243,3776.52,1645.4099
2019-01-02 07:00:00,8590.969948120415,3376.3003,1805.8401
2019-01-02 08:00:00,9121.46987182647,3061.3398,1688.5801
2019-01-02 09:00:00,8777.07005340606,3413.7302,1575.92
2019-01-02 10:00:00,8634.47019226104,3806.6602,1569.87
2019-01-02 11:00:00,8508.369903869927,3666.7998,1500.33
2019-01-02 12:00:00,8595.369896240532,3621.57,1649.51
2019-01-02 13:00:00,8662.370201416314,3673.85,1809.48
2019-01-02 14:00:00,8826.169945068657,3511.6797,1818.57
2019-01-02 15:00:00,8888.27014953643,3326.3398,1544.61
2019-01-02 16:00:00,9329.770195312798,2898.92,1585.34
2019-01-02 17:00:00,9391.969841308892,2911.12,1788.75
2019-01-02 18:00:00,9171.969902344048,2850.01,1937.58
2019-01-02 19:00:00,8925.06996948272,2872.98,1999.96
2019-01-02 20:00:00,8327.170090027153,3018.9,2036.78
2019-01-02 21:00:00,8108.970131225884,3121.88,2082.04
2019-01-02 22:00:00,7832.170105285943,3096.95,2286.67
2019-01-02 23:00:00,7081.269966430962,3383.58,2112.77
2019-01-03 00:00:00,7091.769951172173,3141.21,2314.92
2019-01-03 01:00:00,7117.069946594536,3008.56,2376.6802
2019-01-03 02:00:00,7084.17015106231,2882.75,2359.32
2019-01-03 03:00:00,7006.37009460479,2875.23,2189.9
2019-01-03 04:00:00,7154.2700579836965,3432.96,2246.49
2019-01-03 05:00:00,7904.170082397759,3263.88,1924.33
2019-01-03 06:00:00,9470.369987793267,2829.1401,1826.21
2019-01-03 07:00:00,9862.070213623345,2935.61,1889.73
2019-01-03 08:00:00,8852.669853515923,3096.45,989.19
2019-01-03 09:00:00,8868.86988479644,2991.66,847.9
2019-01-03 10:00:00,9614.06995422393,2728.75,1017.25
2019-01-03 11:00:00,10218.969826050103,2397.74,1224.02
2019-01-03 12:00:00,10838.47002441436,2243.66,1596.44
2019-01-03 13:00:00,9974.670097656548,2482.13,1221.65
2019-01-03 14:00:00,9824.369835205376,2527.74,1299.49
2019-01-03 15:00:00,9781.67006713897,2683.5898,1349.15
2019-01-03 16:00:00,11048.569893188775,2255.5898,1699.4299
2019-01-03 17:00:00,10211.069755859673,2648.8599,1679.33
2019-01-03 18:00:00,9963.369896240532,2630.44,1924.75
2019-01-03 19:00:00,9527.970146484673,2902.29,2054.79
2019-01-03 20:00:00,8296.669960327446,3254.99,1860.8099
2019-01-03 21:00:00,8172.269951172173,3395.87,2295.21
2019-01-03 22:00:00,7847.569961853325,3132.31,2350.6602
2019-01-03 23:00:00,7413.270096130669,3265.19,2186.8599
2019-01-04 00:00:00,7234.970054931939,3338.46,2396.0698
2019-01-04 01:00:00,7097.870100326836,3550.4502,2562.15
2019-01-04 02:00:00,7060.070000000298,3420.68,2369.77
2019-01-04 03:00:00,7089.570099182427,3455.88,2026.09
2019-01-04 04:00:00,7219.169902391732,3527.86,1977.47
2019-01-04 05:00:00,7707.570144958794,3258.56,1388.52
2019-01-04 06:00:00,8220.569984741509,3380.94,1304.77
2019-01-04 07:00:00,8326.069938965142,3470.7302,1227.1
2019-01-04 08:00:00,8423.969993896782,3874.9897,1271.1101
2019-01-04 09:00:00,8287.27001220733,3838.96,1083.68
2019-01-04 10:00:00,8224.269905395806,3825.39,968.67
2019-01-04 11:00:00,8004.269981689751,3451.99,625.75
2019-01-04 12:00:00,7746.570061035454,3854.27,794.98
2019-01-04 13:00:00,7355.870048828423,4557.3203,1103.49
2019-01-04 14:00:00,7109.970085449517,4733.12,1296.28
2019-01-04 15:00:00,7439.670097656548,4752.44,1294.3
2019-01-04 16:00:00,7608.470085449517,4963.73,1282.3301
2019-01-04 17:00:00,7652.470085449517,4519.63,1135.32
2019-01-04 18:00:00,7315.26999694854,4388.5,1094.09
2019-01-04 19:00:00,6840.969963379204,4644.38,1135.4299
2019-01-04 20:00:00,6806.969902344048,4223.29,1011.79004
