,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2019-01-01 00:00:00,0.048396446,0.13869676,0.068480186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014761978,0.023947036,0.0761546,0.0,0.62844014,0.0,0.0,6.5826725e-06,0.0,0.0,0.0011162539
2019-01-01 01:00:00,0.0499084,0.1430298,0.070619576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060542882,0.024815712,0.06774523,0.0,0.6368679,0.0,0.0,5.715131e-06,0.0,0.0,0.0009533901
2019-01-01 02:00:00,0.049878035,0.14294276,0.0705766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036430608,0.026694637,0.06185077,0.0,0.6431251,0.0,0.0,5.548221e-06,0.0,0.0,0.0012834953
2019-01-01 03:00:00,0.048911523,0.1401729,0.06920901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024903847,0.026769154,0.06721658,0.0,0.6438885,0.0,0.0,5.7823395e-06,0.0,0.0,0.0013361571
2019-01-01 04:00:00,0.047324456,0.1356246,0.06696334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052006515,0.025325624,0.05653362,0.0,0.6618789,0.0,0.0,1.0667297e-05,0.0,0.0,0.0011381295
2019-01-01 05:00:00,0.047303386,0.13556422,0.06693352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056417105,0.02462262,0.061236918,0.0,0.6580711,0.0,0.0,1.732353e-05,0.0,0.0,0.0006091802
2019-01-01 06:00:00,0.048886042,0.14009987,0.069172956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054725213,0.025541784,0.05767272,0.0,0.6522762,0.0,0.0,2.3452412e-05,0.0,0.0,0.000854451
2019-01-01 07:00:00,0.04967627,0.14236455,0.07029112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009501831,0.024976524,0.06052223,0.0,0.64064986,0.0,0.0,0.0010098739,0.0,0.0,0.0010077645
2019-01-01 08:00:00,0.048685636,0.13952553,0.06888939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113358395,0.022842346,0.06277864,0.0,0.62976456,0.0,0.0,0.014562094,0.0,0.0,0.0016160175
2019-01-01 09:00:00,0.044569068,0.12772807,0.06306451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006642867,0.02374002,0.061751556,0.0,0.62874836,0.0,0.0,0.042358927,0.0,0.0,0.00139654
2019-01-01 10:00:00,0.041796204,0.11978148,0.059140947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043186666,0.022788713,0.061958905,0.0,0.6206601,0.0,0.0,0.067807086,0.0,0.0,0.001747923
2019-01-01 11:00:00,0.038025122,0.10897414,0.053804927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020220589,0.023917735,0.06117677,0.0,0.609625,0.0,0.0,0.08273062,0.0,0.0,0.0015251884
2019-01-01 12:00:00,0.037304953,0.10691024,0.0527859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017429464,0.024051828,0.07060083,0.0,0.6119179,0.0,0.0,0.077044256,0.0,0.0,0.0019545963
2019-01-01 13:00:00,0.039447553,0.11305061,0.055817645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017594466,0.025132477,0.06126294,0.0,0.62474024,0.0,0.0,0.06033721,0.0,0.0,0.0026168234
2019-01-01 14:00:00,0.043134816,0.12361774,0.06103506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017261302,0.025244877,0.0633962,0.0,0.63316166,0.0,0.0,0.030970838,0.0,0.0,0.0021775065
2019-01-01 15:00:00,0.0487093,0.13959335,0.06892287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019937556,0.024843635,0.06636179,0.0,0.62307024,0.0,0.0,0.0062278006,0.0,0.0,0.002333416
