,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2019-01-01 00:00:00,0.0,0.0,0.0,0.00014518266040978772,0.0,0.0023360177226902207,0.0012764640197083113,0.0037120679269202076,2.244772240080875e-06,0.0,0.0,0.0003890009106494419,0.0,0.00013601993886779498,1.1609443205286878e-05,0.0,0.0,0.012881134106271236,0.0,0.0,0.0,0.0,0.0032795324095960935
2019-01-01 01:00:00,0.0,0.0,0.0,0.0001509928929751925,0.0,0.002432948190290538,0.0012411402968298833,0.004037448481095194,2.3439655207399186e-06,0.0,0.0,0.0004061903055545052,0.0,0.00013413064479550916,1.3710906620794695e-05,0.0,0.0,0.012436773008529436,0.0,0.0,0.0,0.0,0.003423104175984879
2019-01-01 02:00:00,0.0,0.0,0.0,0.00016427637889686545,0.0,0.0026293324611352483,0.0011396910812718586,0.00365711222502692,2.529894405571086e-06,0.0,0.0,0.0004377588537152564,0.0,0.00013292292184194287,1.1369570155036086e-05,0.0,0.0,0.01151238205813338,0.0,0.0,0.0,0.0,0.0037273223270618723
2019-01-01 03:00:00,0.0,0.0,0.0,0.00016953956385900123,0.0,0.002681585485227163,0.001116671417992561,0.0034991027932728892,2.5801712858356795e-06,0.0,0.0,0.00044778723086976173,0.0,0.00013501529946103856,1.1411463064483596e-05,0.0,0.0,0.011377250164406787,0.0,0.0,0.0,0.0,0.0038784461440674396
2019-01-01 04:00:00,0.0,0.0,0.0,0.00016628360794052378,0.0,0.0026300864490565266,0.0011670441857287864,0.003427899030135745,2.53061987861495e-06,0.0,0.0,0.0004391876128727403,0.0,0.0001333201503626765,1.04702249004618e-05,0.0,0.0,0.01195245274420775,0.0,0.0,0.0,0.0,0.003596869287699016
2019-01-01 05:00:00,0.0,0.0,0.0,0.0001644616527067015,0.0,0.0026046296297827357,0.001120610625267542,0.0034002415278374504,2.502892093598965e-06,0.0,0.0,0.0004343754718576764,0.0,0.00012777484014355562,1.1962392024990571e-05,0.0,0.0,0.01275513303892724,0.0,0.0,0.0,0.0,0.003407254887586046
2019-01-01 06:00:00,0.0,0.0,0.0,0.00016442646863167143,0.0,0.0026109715355447484,0.0011011501959724854,0.003404973508418743,2.512227867155303e-06,0.0,0.0,0.00043534881206794913,0.0,0.00013992686598223272,9.766897561050465e-06,0.0,0.0,0.011506586790783787,0.0,2.506312181662556e-05,0.0,0.0,0.003186964910303
2019-01-01 07:00:00,0.0,0.0,0.0,0.0001614812611242826,0.0,0.0025081521800240855,0.0009313220375656063,0.0032533171722305995,2.410183079061778e-06,0.0,0.0,0.0004170446717501723,0.0,0.0001604932352352904,2.3382451550873794e-05,0.0,0.0,0.010211705419066613,0.0,0.0005748959281365174,0.0,0.0,0.002913564725008052
2019-01-01 08:00:00,0.0,0.0,0.0,0.000147137639899509,0.0,0.002309110879537979,0.0008643297441158327,0.0030324114237002217,2.221783202518326e-06,0.0,0.0,0.00038501709599461355,0.0,0.0001600074274734078,2.0366007921354363e-05,0.0,0.0,0.008943418722407349,0.0,0.001430683204477113,0.0,0.0,0.002332385901239282
2019-01-01 09:00:00,0.0,0.0,0.0,0.00014123207465235085,0.0,0.002199283230105733,0.0008173724444939177,0.0029752456412303605,2.1161090970247607e-06,0.0,0.0,0.0003667046264553516,0.00011252792659230542,0.00015224689031392697,1.9548296800891278e-05,0.0,0.0,0.008278487439511959,0.0,0.002207566256953749,0.0,0.0,0.001982049755318186
