,production,imports,exports
2019-01-01 00:00:00,21735.0,2344.647,555.553
2019-01-01 01:00:00,20978.0,2086.995,812.054
2019-01-01 02:00:00,19047.0,2320.099,360.735
2019-01-01 03:00:00,18722.0,2217.3489,501.156
2019-01-01 04:00:00,18982.0,2420.978,562.042
2019-01-01 05:00:00,18773.0,3079.776,222.798
2019-01-01 06:00:00,18190.0,3760.603,118.056
2019-01-01 07:00:00,18581.0,4174.956,45.126
2019-01-01 08:00:00,19888.0,4530.214,9.7
2019-01-01 09:00:00,21386.0,4001.742,24.4
2019-01-01 10:00:00,22069.0,3580.9043,73.190994
2019-01-01 11:00:00,23262.0,3014.28,203.555
2019-01-01 12:00:00,22406.0,2658.438,261.195
2019-01-01 13:00:00,20183.0,4246.673,95.22
2019-01-01 14:00:00,19660.0,4714.794,22.8
2019-01-01 15:00:00,21267.0,4427.835,53.5
2019-01-01 16:00:00,24290.0,4671.778,74.239
2019-01-01 17:00:00,25288.0,4944.322,105.4
2019-01-01 18:00:00,25847.0,5084.285,84.6
2019-01-01 19:00:00,25165.0,5170.892,77.4
2019-01-01 20:00:00,23901.0,5291.508,78.001
2019-01-01 21:00:00,22283.0,5013.886,94.1
2019-01-01 22:00:00,19926.0,4401.8467,112.749
2019-01-01 23:00:00,17236.14288330078,4650.1133,103.774
2019-01-02 00:00:00,15915.375,4601.148,62.418
2019-01-02 01:00:00,15374.75,4772.0107,33.711
2019-01-02 02:00:00,15363.875,5090.353,12.699999
2019-01-02 03:00:00,16165.25,5005.436,7.3
2019-01-02 04:00:00,17438.75,5567.583,0.0
2019-01-02 05:00:00,19305.375,6622.623,0.2
2019-01-02 06:00:00,23662.125,6236.8457,2.8
2019-01-02 07:00:00,27738.875,6196.179,17.8
2019-01-02 08:00:00,30389.875,5999.0317,31.900002
2019-01-02 09:00:00,30520.125,6030.955,11.3
2019-01-02 10:00:00,30749.75,5894.494,47.249
2019-01-02 11:00:00,32019.625,4591.68,270.58398
2019-01-02 12:00:00,30622.0,4997.005,127.567
2019-01-02 13:00:00,29996.5,5832.1426,34.5
2019-01-02 14:00:00,30029.75,6244.3223,19.1
2019-01-02 15:00:00,31787.375,6018.051,7.7000003
2019-01-02 16:00:00,34469.25,6249.943,4.4
2019-01-02 17:00:00,34826.5,6061.21,56.2
2019-01-02 18:00:00,34199.375,6018.481,45.199997
2019-01-02 19:00:00,31887.5,5778.543,65.4
2019-01-02 20:00:00,29420.125,5369.044,12.900001
2019-01-02 21:00:00,26648.375,4709.127,70.4
2019-01-02 22:00:00,23531.5,4498.176,135.889
2019-01-02 23:00:00,21625.51788330078,3753.9238,220.33
2019-01-03 00:00:00,20997.486083984375,3056.6912,335.544
2019-01-03 01:00:00,20250.75,3088.433,566.49097
2019-01-03 02:00:00,20089.763916015625,2756.388,446.933
2019-01-03 03:00:00,20317.8056640625,2766.942,326.3
2019-01-03 04:00:00,21377.861083984375,3135.016,328.135
2019-01-03 05:00:00,23507.15283203125,4594.352,147.926
2019-01-03 06:00:00,27818.6806640625,4688.721,178.801
2019-01-03 07:00:00,31479.4306640625,5121.872,189.76001
2019-01-03 08:00:00,34339.986083984375,4767.653,155.0
2019-01-03 09:00:00,35184.125,4357.214,119.2
2019-01-03 10:00:00,35255.861083984375,3801.489,181.436
2019-01-03 11:00:00,35419.1806640625,2795.5898,416.803
2019-01-03 12:00:00,34835.22216796875,2953.591,387.33398
2019-01-03 13:00:00,34002.166748046875,4081.597,210.51
2019-01-03 14:00:00,33498.97216796875,4749.649,124.78
2019-01-03 15:00:00,34353.263916015625,5340.545,126.0
2019-01-03 16:00:00,36972.916748046875,5475.972,155.4
2019-01-03 17:00:00,37468.388916015625,5181.9946,174.0
2019-01-03 18:00:00,36636.041748046875,5148.979,191.29999
2019-01-03 19:00:00,33885.166748046875,5142.157,197.6
2019-01-03 20:00:00,30965.458251953125,5102.8867,177.6
2019-01-03 21:00:00,27752.041748046875,4844.505,189.2
2019-01-03 22:00:00,25379.388916015625,3786.501,297.5
2019-01-03 23:00:00,22997.51788330078,4002.257,243.7
2019-01-04 00:00:00,21740.486083984375,4225.461,240.8
2019-01-04 01:00:00,20630.75,4521.283,185.1
2019-01-04 02:00:00,20233.763916015625,4364.088,164.9
2019-01-04 03:00:00,20475.8056640625,4535.233,107.5
2019-01-04 04:00:00,21965.861083984375,4463.823,119.451996
2019-01-04 05:00:00,24661.15283203125,3680.473,80.971
2019-01-04 06:00:00,29579.6806640625,3796.7559,102.615
2019-01-04 07:00:00,33717.4306640625,4175.932,138.0
2019-01-04 08:00:00,35810.986083984375,4997.417,2.5
2019-01-04 09:00:00,37435.125,4334.1777,53.8
2019-01-04 10:00:00,38447.861083984375,3693.3872,119.3
2019-01-04 11:00:00,38252.1806640625,2341.699,265.061
2019-01-04 12:00:00,36477.22216796875,2764.1392,258.724
2019-01-04 13:00:00,35452.166748046875,3973.436,198.241
2019-01-04 14:00:00,34346.97216796875,5111.109,62.9
2019-01-04 15:00:00,35298.263916015625,5271.287,127.7
2019-01-04 16:00:00,38115.916748046875,5271.81,106.3
2019-01-04 17:00:00,39083.388916015625,4225.542,124.7
2019-01-04 18:00:00,38033.041748046875,4394.468,160.6
2019-01-04 19:00:00,35367.166748046875,4476.871,155.3
2019-01-04 20:00:00,33219.458251953125,3458.9897,298.969
2019-01-04 21:00:00,30349.041748046875,2715.5337,265.681
2019-01-04 22:00:00,28852.388916015625,1731.434,1161.027
2019-01-04 23:00:00,24712.51788330078,2777.657,436.637
2019-01-05 00:00:00,23201.486083984375,2446.663,389.848
2019-01-05 01:00:00,21651.75,2969.43,360.348
2019-01-05 02:00:00,20286.763916015625,3924.186,148.976
2019-01-05 03:00:00,20074.8056640625,4257.7617,95.145004
2019-01-05 04:00:00,20983.861083984375,4332.878,80.056
2019-01-05 05:00:00,22770.15283203125,4142.019,129.256
2019-01-05 06:00:00,25623.6806640625,4147.102,140.0
2019-01-05 07:00:00,28379.4306640625,4211.128,167.7
2019-01-05 08:00:00,30209.986083984375,4945.052,111.1
2019-01-05 09:00:00,31214.125,4834.171,117.5
2019-01-05 10:00:00,31901.861083984375,3621.594,238.28299
2019-01-05 11:00:00,31361.1806640625,3139.739,303.051
2019-01-05 12:00:00,30439.22216796875,2531.0022,373.395
2019-01-05 13:00:00,28068.166748046875,4067.742,199.375
2019-01-05 14:00:00,26822.97216796875,5638.237,68.7
2019-01-05 15:00:00,28249.263916015625,5542.841,76.3
2019-01-05 16:00:00,31828.916748046875,5666.515,52.7
2019-01-05 17:00:00,33684.388916015625,5093.2334,158.8
2019-01-05 18:00:00,33064.041748046875,5401.67,186.9
2019-01-05 19:00:00,30927.166748046875,5374.829,167.7
2019-01-05 20:00:00,29510.458251953125,4100.524,275.062
2019-01-05 21:00:00,26766.041748046875,3977.8809,223.97101
2019-01-05 22:00:00,24222.388916015625,3634.2812,270.234
2019-01-05 23:00:00,20347.51788330078,5000.007,97.946
2019-01-06 00:00:00,18463.486083984375,5153.0283,28.0
2019-01-06 01:00:00,18067.75,4350.804,57.1
2019-01-06 02:00:00,18078.763916015625,4196.3,61.7
2019-01-06 03:00:00,18731.8056640625,3525.622,116.388
2019-01-06 04:00:00,19252.861083984375,3612.012,109.387
2019-01-06 05:00:00,19498.15283203125,4547.384,49.0
2019-01-06 06:00:00,20402.6806640625,5305.34,0.0
2019-01-06 07:00:00,22559.4306640625,5061.147,0.3
2019-01-06 08:00:00,25314.986083984375,4528.6934,31.3
2019-01-06 09:00:00,26736.125,4381.446,76.7
2019-01-06 10:00:00,28966.861083984375,3026.6528,329.893
2019-01-06 11:00:00,28921.1806640625,3022.101,383.792
2019-01-06 12:00:00,26619.22216796875,3221.022,332.612
2019-01-06 13:00:00,23657.166748046875,4858.796,110.123
2019-01-06 14:00:00,24224.97216796875,4853.097,70.1
2019-01-06 15:00:00,25636.263916015625,4918.948,125.075005
2019-01-06 16:00:00,29446.916748046875,4867.458,163.301
2019-01-06 17:00:00,29941.388916015625,5562.569,110.9
2019-01-06 18:00:00,30478.041748046875,5552.7207,114.3
2019-01-06 19:00:00,29243.166748046875,5742.3447,64.9
2019-01-06 20:00:00,27898.458251953125,5617.3027,50.8
2019-01-06 21:00:00,25917.041748046875,5467.1533,53.3
2019-01-06 22:00:00,22985.388916015625,5087.254,14.737
2019-01-06 23:00:00,21733.51788330078,3087.0178,303.253
2019-01-07 00:00:00,20305.486083984375,3060.105,286.578
2019-01-07 01:00:00,19631.75,3258.0159,428.552
2019-01-07 02:00:00,20129.763916015625,2827.087,422.61
2019-01-07 03:00:00,20896.8056640625,2678.656,256.29102
2019-01-07 04:00:00,22810.861083984375,2566.845,258.124
2019-01-07 05:00:00,28930.15283203125,2588.3909,292.644
2019-01-07 06:00:00,35153.6806640625,3483.1133,91.4
2019-01-07 07:00:00,39529.4306640625,4119.7793,120.0
2019-01-07 08:00:00,41035.986083984375,4896.1763,62.5
2019-01-07 09:00:00,41126.125,4691.112,71.3
2019-01-07 10:00:00,40563.861083984375,4698.096,75.8
2019-01-07 11:00:00,39822.1806640625,3519.815,118.5
2019-01-07 12:00:00,38273.22216796875,4543.485,17.1
2019-01-07 13:00:00,38948.166748046875,5189.872,83.2
2019-01-07 14:00:00,40082.97216796875,4919.1113,57.4
2019-01-07 15:00:00,41109.263916015625,5076.77,61.1
2019-01-07 16:00:00,43286.916748046875,5077.6343,15.799999
2019-01-07 17:00:00,41743.388916015625,5541.4854,0.2
2019-01-07 18:00:00,40777.041748046875,5523.0903,0.4
2019-01-07 19:00:00,38516.166748046875,5188.557,8.0
2019-01-07 20:00:00,35604.458251953125,4942.95,116.7
2019-01-07 21:00:00,31417.041748046875,4770.6094,79.1
2019-01-07 22:00:00,26914.388916015625,5068.926,21.5
2019-01-07 23:00:00,27345.14288330078,2744.5151,296.252
2019-01-08 00:00:00,25807.375,2576.003,292.213
2019-01-08 01:00:00,25083.75,2512.6519,245.119
2019-01-08 02:00:00,24829.875,2588.15,254.59799
2019-01-08 03:00:00,25114.25,2524.2368,226.771
2019-01-08 04:00:00,27203.75,2509.7158,243.831
2019-01-08 05:00:00,32503.375,2498.384,294.524
2019-01-08 06:00:00,38715.125,3063.4312,278.816
2019-01-08 07:00:00,42800.875,3723.262,264.9
2019-01-08 08:00:00,43757.875,4586.246,177.8
2019-01-08 09:00:00,43721.125,4618.0537,150.40001
2019-01-08 10:00:00,43639.75,4557.16,107.0
2019-01-08 11:00:00,41550.625,4167.56,108.0
2019-01-08 12:00:00,40656.0,4388.589,102.4
2019-01-08 13:00:00,42078.5,4440.502,214.9
2019-01-08 14:00:00,42638.75,4333.807,207.7
2019-01-08 15:00:00,43675.375,4304.497,155.9
2019-01-08 16:00:00,45485.25,4121.691,156.6
2019-01-08 17:00:00,43077.5,5251.885,85.0
2019-01-08 18:00:00,41485.375,5300.7217,89.2
2019-01-08 19:00:00,39128.5,4770.444,75.5
2019-01-08 20:00:00,35448.125,5108.625,79.4
2019-01-08 21:00:00,31446.375,4667.394,74.9
2019-01-08 22:00:00,27530.5,4869.237,38.6
2019-01-08 23:00:00,23860.14288330078,5723.298,15.400001
2019-01-09 00:00:00,21884.375,5937.54,1.7
2019-01-09 01:00:00,20924.75,5879.032,0.0
2019-01-09 02:00:00,21185.875,5555.696,0.0
2019-01-09 03:00:00,21974.25,5457.7617,0.1
2019-01-09 04:00:00,24085.75,5297.67,15.1
2019-01-09 05:00:00,29610.375,5150.1714,31.8
2019-01-09 06:00:00,36756.125,5126.048,14.5
2019-01-09 07:00:00,41784.875,5122.4893,52.9
2019-01-09 08:00:00,44032.875,4918.0303,94.3
2019-01-09 09:00:00,43418.125,4837.38,19.7
2019-01-09 10:00:00,42292.75,4882.498,3.2
2019-01-09 11:00:00,40448.625,4363.223,29.6
2019-01-09 12:00:00,40214.0,4671.291,30.7
2019-01-09 13:00:00,40967.5,4953.439,54.7
2019-01-09 14:00:00,41690.75,4902.6523,55.6
2019-01-09 15:00:00,42583.375,4958.324,78.8
2019-01-09 16:00:00,44288.25,5158.4937,55.2
2019-01-09 17:00:00,43013.5,5543.839,82.2
2019-01-09 18:00:00,41259.375,5541.7207,63.0
2019-01-09 19:00:00,39649.5,4404.6147,16.4
2019-01-09 20:00:00,34955.125,5562.827,19.2
2019-01-09 21:00:00,30494.375,5681.023,1.4
2019-01-09 22:00:00,27443.5,5210.067,57.7
2019-01-09 23:00:00,23728.14288330078,5586.251,57.6
2019-01-10 00:00:00,21896.375,5790.374,0.5
2019-01-10 01:00:00,21381.75,5739.7905,1.1
2019-01-10 02:00:00,22028.875,5943.784,0.0
2019-01-10 03:00:00,22535.25,5893.857,1.0
2019-01-10 04:00:00,23763.75,5482.702,14.7
2019-01-10 05:00:00,30059.375,5003.2363,68.9
2019-01-10 06:00:00,38789.125,3723.19,182.9
2019-01-10 07:00:00,43010.875,4221.286,194.7
2019-01-10 08:00:00,43524.875,5165.94,120.1
2019-01-10 09:00:00,43595.125,4643.059,145.1
2019-01-10 10:00:00,43665.75,4377.527,131.3
2019-01-10 11:00:00,42647.625,3038.11,193.786
2019-01-10 12:00:00,43114.0,2794.7559,263.717
2019-01-10 13:00:00,42230.5,3921.733,149.386
2019-01-10 14:00:00,41240.75,4887.723,95.2
2019-01-10 15:00:00,42953.375,4493.039,156.4
2019-01-10 16:00:00,45778.25,3669.6511,201.594
2019-01-10 17:00:00,46154.5,2685.574,264.169
2019-01-10 18:00:00,43626.375,4003.675,143.6
2019-01-10 19:00:00,40561.5,4264.809,62.8
2019-01-10 20:00:00,37391.125,3898.038,110.4
2019-01-10 21:00:00,32473.375,4489.497,72.4
2019-01-10 22:00:00,28581.5,4544.069,121.399994
2019-01-10 23:00:00,24912.14288330078,4936.8633,102.9
2019-01-11 00:00:00,22940.375,5425.361,15.599999
2019-01-11 01:00:00,22057.75,5509.825,7.5
2019-01-11 02:00:00,21787.875,5471.002,3.6
2019-01-11 03:00:00,22189.25,5526.339,0.0
2019-01-11 04:00:00,24291.75,5305.6543,2.5
2019-01-11 05:00:00,29841.375,5096.5195,14.200001
2019-01-11 06:00:00,37451.125,4537.129,9.2
2019-01-11 07:00:00,41438.875,5440.004,2.6
2019-01-11 08:00:00,43533.875,5414.95,7.3999996
2019-01-11 09:00:00,44325.125,4375.0537,126.6
2019-01-11 10:00:00,43717.75,4225.0947,133.4
2019-01-11 11:00:00,42158.625,2986.9722,185.9
2019-01-11 12:00:00,41258.0,3074.625,212.802
2019-01-11 13:00:00,40565.5,4616.4688,58.4
2019-01-11 14:00:00,40190.75,5100.505,4.2
2019-01-11 15:00:00,41214.375,4940.864,18.6
2019-01-11 16:00:00,43693.25,4870.207,65.4
2019-01-11 17:00:00,43158.5,5043.111,93.7
2019-01-11 18:00:00,42112.375,4934.791,91.700005
2019-01-11 19:00:00,39391.5,4502.3193,93.9
2019-01-11 20:00:00,36101.125,4368.282,57.8
2019-01-11 21:00:00,31995.375,4393.0703,1.9
2019-01-11 22:00:00,29756.5,3474.2568,138.508
2019-01-11 23:00:00,25864.14288330078,4385.548,97.048
2019-01-12 00:00:00,23201.375,4896.654,21.0
2019-01-12 01:00:00,21901.75,5040.088,2.4
2019-01-12 02:00:00,21243.875,5263.057,1.6000001
2019-01-12 03:00:00,21561.25,5361.125,1.3
2019-01-12 04:00:00,22253.75,5419.772,0.70000005
2019-01-12 05:00:00,24398.375,5568.0396,1.0
2019-01-12 06:00:00,28844.125,5220.045,2.0
2019-01-12 07:00:00,32523.875,4683.532,68.799995
2019-01-12 08:00:00,34986.875,4283.574,124.6
2019-01-12 09:00:00,34942.125,4199.397,43.2
2019-01-12 10:00:00,34119.75,3339.499,135.4
2019-01-12 11:00:00,34229.625,2164.224,341.62903
2019-01-12 12:00:00,33511.0,2366.4111,268.832
2019-01-12 13:00:00,31183.5,4337.359,60.878
2019-01-12 14:00:00,29847.75,4416.0728,92.3
2019-01-12 15:00:00,31022.375,4409.792,88.2
2019-01-12 16:00:00,34709.25,4577.134,115.8
2019-01-12 17:00:00,36562.5,4431.547,146.0
2019-01-12 18:00:00,36428.375,4561.507,96.3
2019-01-12 19:00:00,34267.5,4504.607,69.6
2019-01-12 20:00:00,31196.125,4435.867,65.7
2019-01-12 21:00:00,28262.375,4461.467,14.2
2019-01-12 22:00:00,25405.5,4497.569,34.300003
2019-01-12 23:00:00,22518.14288330078,4933.437,38.3
2019-01-13 00:00:00,20379.375,5178.163,3.9
2019-01-13 01:00:00,19222.75,5371.673,0.2
2019-01-13 02:00:00,18991.875,5479.377,0.8
2019-01-13 03:00:00,18884.25,5224.029,2.9
2019-01-13 04:00:00,19945.75,4824.117,3.1
2019-01-13 05:00:00,22398.375,4007.1729,44.800003
2019-01-13 06:00:00,23450.125,3813.761,67.2
2019-01-13 07:00:00,25081.875,3866.201,84.7
2019-01-13 08:00:00,27888.875,3794.777,65.2
2019-01-13 09:00:00,28910.125,3784.432,76.1
2019-01-13 10:00:00,28846.75,3752.594,100.2
2019-01-13 11:00:00,28048.625,4265.793,109.4
2019-01-13 12:00:00,26309.0,4778.791,54.0
2019-01-13 13:00:00,25019.5,4979.879,29.2
2019-01-13 14:00:00,25669.75,4997.63,37.3
2019-01-13 15:00:00,27394.375,4594.08,55.0
2019-01-13 16:00:00,31059.25,4594.468,104.9
2019-01-13 17:00:00,32429.5,4565.042,106.6
2019-01-13 18:00:00,32916.375,4631.87,105.7
2019-01-13 19:00:00,31846.5,4761.711,89.100006
2019-01-13 20:00:00,29596.125,4856.5254,36.7
2019-01-13 21:00:00,27046.375,4946.245,10.7
2019-01-13 22:00:00,24176.5,4942.64,10.5
2019-01-13 23:00:00,21366.14288330078,5025.0728,2.2
2019-01-14 00:00:00,19860.375,5357.711,2.6
2019-01-14 01:00:00,20030.75,5354.1987,1.5999999
2019-01-14 02:00:00,20249.875,5397.3213,0.6
2019-01-14 03:00:00,20733.25,5368.109,2.2
2019-01-14 04:00:00,22969.75,4749.651,57.8
2019-01-14 05:00:00,28690.375,4567.202,41.6
2019-01-14 06:00:00,36040.125,4882.9053,57.1
