,production,imports,exports
2020-01-01 00:00:00,5312.845703125001,3246.895,1423.296
2020-01-01 01:00:00,5287.27197265625,3113.338,1428.0591
2020-01-01 02:00:00,5136.634765625,3379.644,933.36304
2020-01-01 03:00:00,4948.635742187501,3198.117,966.109
2020-01-01 04:00:00,4943.646972656251,3246.2239,1068.746
2020-01-01 05:00:00,4955.082031249999,3433.5728,1284.417
2020-01-01 06:00:00,5057.86279296875,3390.5737,1501.156
2020-01-01 07:00:00,5160.4892578125,3303.4448,1470.5491
2020-01-01 08:00:00,5495.169921875,3483.808,1811.7788
2020-01-01 09:00:00,5464.1279296875,3589.901,1507.6741
2020-01-01 10:00:00,5499.076171874999,3850.512,1863.685
2020-01-01 11:00:00,5621.5341796875,4084.0,1899.188
2020-01-01 12:00:00,5590.1611328125,4005.552,1883.1631
2020-01-01 13:00:00,5473.91796875,3530.5222,1415.7571
2020-01-01 14:00:00,5471.572265625,2641.9749,886.55
2020-01-01 15:00:00,6328.5830078125,2430.9902,2025.474
2020-01-01 16:00:00,7714.69287109375,1853.1189,2328.866
2020-01-01 17:00:00,8205.4619140625,2385.2002,3253.2231
2020-01-01 18:00:00,7920.44287109375,2841.469,3595.932
2020-01-01 19:00:00,7574.55322265625,3258.4912,3863.8232
2020-01-01 20:00:00,6625.55078125,3442.445,3324.656
2020-01-01 21:00:00,6167.65087890625,3704.5662,2927.529
2020-01-01 22:00:00,5535.81396484375,4016.173,2712.413
2020-01-01 23:00:00,5344.3681640625,3777.6228,2083.184
2020-01-02 00:00:00,5088.406738281251,4021.29,1665.7401
2020-01-02 01:00:00,5134.43896484375,3862.891,1368.306
2020-01-02 02:00:00,5080.76513671875,3548.7751,1309.2421
2020-01-02 03:00:00,5127.010742187501,3320.3281,1336.9961
2020-01-02 04:00:00,5103.25390625,4111.819,2011.23
2020-01-02 05:00:00,5265.888671875,4138.3228,2440.599
2020-01-02 06:00:00,6460.97412109375,3160.949,3103.711
2020-01-02 07:00:00,7958.86328125,2609.516,3798.3162
2020-01-02 08:00:00,8733.542968750002,2185.372,3815.421
2020-01-02 09:00:00,8595.578125000002,2349.667,3730.087
2020-01-02 10:00:00,8346.796875,2111.906,3369.875
2020-01-02 11:00:00,8249.576171875,1942.3451,2901.0532
2020-01-02 12:00:00,8300.017578125,2043.368,3182.127
2020-01-02 13:00:00,8481.048828124998,2178.0132,3644.075
2020-01-02 14:00:00,9037.265625,2498.362,4503.7803
2020-01-02 15:00:00,9914.8447265625,2352.121,5009.956
2020-01-02 16:00:00,10555.6904296875,2001.575,4756.4272
2020-01-02 17:00:00,10318.797851562502,2265.883,4715.657
2020-01-02 18:00:00,9683.134765625,2822.257,4822.435
2020-01-02 19:00:00,7389.01806640625,4287.015,4252.547
2020-01-02 20:00:00,6240.21484375,4820.7007,3896.837
2020-01-02 21:00:00,5959.36181640625,4917.1675,3653.737
2020-01-02 22:00:00,5509.06884765625,5254.9204,3370.9102
2020-01-02 23:00:00,5296.9921875,5671.546,3601.964
2020-01-03 00:00:00,5159.55078125,5661.542,3431.857
2020-01-03 01:00:00,5003.970703125001,5828.613,3291.951
2020-01-03 02:00:00,4958.9482421875,5750.264,3232.2852
2020-01-03 03:00:00,4955.921875,5598.038,3243.134
2020-01-03 04:00:00,5175.386718750001,5764.132,3690.5918
2020-01-03 05:00:00,5687.4453125,5573.822,4509.192
2020-01-03 06:00:00,6801.47314453125,5273.0747,4996.001
2020-01-03 07:00:00,7038.2451171875,5279.5923,4847.241
2020-01-03 08:00:00,7472.091796875,5064.2197,4816.252
2020-01-03 09:00:00,7329.7958984375,4800.484,4381.965
