,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2020-01-01 00:00:00,0.0,0.0,0.0,0.0051699546,0.0,0.0,0.08283812,0.00065367244,0.003015807,0.0,0.0,0.0,0.0055562155,0.08794866,0.035045754,0.0,0.73481697,0.0,0.0,0.0,0.0032089374,0.0,0.041745897
2020-01-01 01:00:00,0.0,0.0,0.0,0.005307271,0.0,0.0,0.06510966,0.00067296816,0.0031048302,0.0,0.0,0.0,0.0082132695,0.08860237,0.026995199,0.0,0.7580833,0.0,0.0,0.0,0.0033036617,0.0,0.04060751
2020-01-01 02:00:00,0.0,0.0,0.0,0.0054755723,0.0,0.0,0.045220677,0.00069231377,0.003162615,0.0,0.0,0.0,0.0110140825,0.087467544,0.020391786,0.0,0.78011173,0.0,0.0,0.0,0.0034143655,0.0,0.043049328
2020-01-01 03:00:00,0.0,0.0,0.0,0.005545198,0.0,0.0,0.04498303,0.00070111704,0.0031868955,0.0,0.0,0.0,0.013751455,0.086046174,0.015297099,0.0,0.7851076,0.0,0.0,0.0,0.0034577814,0.0,0.04192361
2020-01-01 04:00:00,0.0,0.0,0.0,0.0055143256,0.0,0.0,0.04503631,0.00069922284,0.0031782857,0.0,0.0,0.0,0.016304605,0.084971465,0.014937943,0.0,0.7856405,0.0,0.0,0.0,0.0034643314,0.0,0.040252987
2020-01-01 05:00:00,0.0,0.0,0.0,0.005529778,0.0,0.0,0.045143962,0.0006991673,0.0031780335,0.0,0.0,0.0,0.018893408,0.08301023,0.015667705,0.0,0.7872306,0.0,0.0,0.0,0.0034481662,0.0,0.037198883
2020-01-01 06:00:00,0.0,0.0,0.0,0.0055379616,0.0,0.0,0.04764557,0.0006683747,0.0031827367,0.0,0.0,0.0,0.0215153,0.083164915,0.015674978,0.0,0.7843696,0.0,0.0,0.0,0.003469183,0.0,0.034771398
2020-01-01 07:00:00,0.0,0.0,0.0,0.005620737,0.0,0.0,0.049298212,0.0006764211,0.0032210527,0.0,0.0,0.0,0.015952263,0.08608264,0.015058422,0.0,0.7869032,0.0,0.0,0.002818421,0.0034948422,0.0,0.03087379
2020-01-01 08:00:00,0.0,0.0,0.0,0.00556349,0.0,0.0,0.053323425,0.0006695318,0.0031882466,0.0,0.0,0.0,0.019422797,0.08678407,0.012497927,0.0,0.77788436,0.0,0.0,0.010202389,0.0034592478,0.0,0.027004449
2020-01-01 09:00:00,0.0,0.0,0.0,0.005496162,0.0,0.0,0.05426869,0.0006929258,0.003196908,0.0,0.0,0.0,0.015257867,0.085765325,0.016315255,0.0,0.7669902,0.0,0.0,0.023055533,0.0034016361,0.0,0.025559517
