,Carbon intensity,Human carcinogenic toxicity,Fine particulate matter formation,Land use
2021-01-01 00:00:00,0.19694842,0.013792052,0.00015003757,0.0054475735
2021-01-01 01:00:00,0.20770128,0.01458091,0.00015867075,0.0056399303
2021-01-01 02:00:00,0.18879037,0.013208186,0.00015125042,0.0053023514
2021-01-01 03:00:00,0.17351198,0.011657248,0.000148719,0.0049758134
2021-01-01 04:00:00,0.18914902,0.013176774,0.00015299574,0.005239027
2021-01-01 05:00:00,0.19391806,0.014158495,0.00014881787,0.0053719496
2021-01-01 06:00:00,0.19933027,0.014858658,0.00014483256,0.0055251135
2021-01-01 07:00:00,0.19567116,0.014323121,0.00014555457,0.0054924553
2021-01-01 08:00:00,0.19204773,0.013718536,0.00014776026,0.0055578165
2021-01-01 09:00:00,0.19154556,0.013462447,0.00015005119,0.005634989
2021-01-01 10:00:00,0.18592,0.012746955,0.00014936204,0.005569696
2021-01-01 11:00:00,0.18519111,0.012114154,0.00015472391,0.005507503
2021-01-01 12:00:00,0.19068176,0.012351473,0.00016107035,0.005622731
2021-01-01 13:00:00,0.17693551,0.011843349,0.00014391297,0.005344294
2021-01-01 14:00:00,0.16189393,0.01075248,0.00012937334,0.0049133995
2021-01-01 15:00:00,0.12952206,0.008890709,0.000101899204,0.004079271
2021-01-01 16:00:00,0.0848965,0.006592685,6.799507e-05,0.0030859106
2021-01-01 17:00:00,0.09171105,0.0071258466,7.110109e-05,0.0032204867
2021-01-01 18:00:00,0.12129518,0.009012615,8.8185414e-05,0.0038494302
2021-01-01 19:00:00,0.1427754,0.01038911,0.000100916994,0.0043295245
2021-01-01 20:00:00,0.18829846,0.013038271,0.00013166234,0.005300804
2021-01-01 21:00:00,0.1900847,0.0130532915,0.00013665733,0.005247066
2021-01-01 22:00:00,0.20105982,0.013688054,0.00014971093,0.005555407
2021-01-01 23:00:00,0.20964123,0.0133864,0.0001772236,0.0054918993
2021-01-02 00:00:00,0.20803818,0.013273304,0.00018582537,0.00548825
2021-01-02 01:00:00,0.20465149,0.012750893,0.00018926931,0.0053371526
2021-01-02 02:00:00,0.19973196,0.012298222,0.0001874346,0.005224437
2021-01-02 03:00:00,0.19322182,0.011951718,0.00018242931,0.005085519
2021-01-02 04:00:00,0.19685093,0.012859952,0.0001725775,0.0051537068
2021-01-02 05:00:00,0.19379146,0.013920957,0.00014727106,0.0053827027
2021-01-02 06:00:00,0.20642819,0.015086157,0.00014584717,0.0055909283
2021-01-02 07:00:00,0.19658504,0.014297374,0.00013817893,0.0053031854
2021-01-02 08:00:00,0.21275415,0.015389807,0.00014575657,0.0055484804
2021-01-02 09:00:00,0.21339834,0.015302059,0.00014881173,0.0055914824
2021-01-02 10:00:00,0.20013155,0.0143550625,0.00014365256,0.005390988
2021-01-02 11:00:00,0.18685828,0.013338144,0.00013894649,0.0051436382
2021-01-02 12:00:00,0.18998195,0.013476929,0.0001395552,0.0051784
2021-01-02 13:00:00,0.19031562,0.013514046,0.0001356676,0.005142816
2021-01-02 14:00:00,0.16190544,0.011711076,0.00011513709,0.004503274
2021-01-02 15:00:00,0.12034829,0.009165052,8.5879656e-05,0.003594182
2021-01-02 16:00:00,0.10830259,0.008175591,8.1544844e-05,0.0032278744
2021-01-02 17:00:00,0.12201004,0.009196245,8.87776e-05,0.0035407427
2021-01-02 18:00:00,0.15793721,0.011739474,0.000107482134,0.004322832
2021-01-02 19:00:00,0.2088772,0.015075644,0.00013694364,0.005232366
2021-01-02 20:00:00,0.22707915,0.015993437,0.00015170588,0.0056569446
2021-01-02 21:00:00,0.22684549,0.015857754,0.00015644987,0.0056488775
2021-01-02 22:00:00,0.22395147,0.01588747,0.00015910694,0.005680062
2021-01-02 23:00:00,0.21740603,0.0155521175,0.00016117057,0.005901923
2021-01-03 00:00:00,0.21036965,0.014912647,0.00016603999,0.005879901
2021-01-03 01:00:00,0.19915336,0.014506028,0.00016137052,0.0058304095
2021-01-03 02:00:00,0.18579084,0.013627009,0.0001530437,0.0055720154
2021-01-03 03:00:00,0.17531314,0.012598411,0.00014875807,0.005444697
2021-01-03 04:00:00,0.17276047,0.012421094,0.00014459329,0.0054240413
2021-01-03 05:00:00,0.17608345,0.012884483,0.00014516541,0.0056317616
2021-01-03 06:00:00,0.16862553,0.013095048,0.0001304999,0.005369429
2021-01-03 07:00:00,0.19308451,0.015091118,0.00013899824,0.0057108924
2021-01-03 08:00:00,0.19842015,0.015371572,0.00014079791,0.0057031643
2021-01-03 09:00:00,0.1838821,0.014325758,0.00013124848,0.0052719535
2021-01-03 10:00:00,0.17726356,0.013972959,0.00012794786,0.005034504
2021-01-03 11:00:00,0.18992014,0.014801231,0.0001367091,0.0052399244
2021-01-03 12:00:00,0.18802452,0.01490148,0.00013875101,0.005337072
2021-01-03 13:00:00,0.19334663,0.015808795,0.00013729944,0.005431384
2021-01-03 14:00:00,0.18644339,0.01524936,0.00013311036,0.005271673
2021-01-03 15:00:00,0.18421377,0.015023633,0.00012655061,0.0050314507
2021-01-03 16:00:00,0.19028246,0.015418597,0.000127209,0.0050914655
2021-01-03 17:00:00,0.17352982,0.014031444,0.00011643145,0.004694135
2021-01-03 18:00:00,0.15133606,0.012234758,0.0001044022,0.0042447085
2021-01-03 19:00:00,0.1476738,0.011792719,0.00010294108,0.0042656674
2021-01-03 20:00:00,0.15820532,0.012529408,0.000112504255,0.004711157
2021-01-03 21:00:00,0.19254589,0.0146306995,0.00013889022,0.005336345
2021-01-03 22:00:00,0.18349096,0.013264873,0.00013883397,0.0052403365
2021-01-03 23:00:00,0.177849,0.013040026,0.00013642262,0.00502453
2021-01-04 00:00:00,0.17404655,0.012971556,0.00013165569,0.0047745053
2021-01-04 01:00:00,0.18848476,0.014254173,0.00013985187,0.004984239
2021-01-04 02:00:00,0.19566683,0.0149924,0.00014256815,0.005247928
2021-01-04 03:00:00,0.18679821,0.014243009,0.0001364461,0.0050223814
2021-01-04 04:00:00,0.18033572,0.013763578,0.00012767165,0.0047635287
2021-01-04 05:00:00,0.20296949,0.014896474,0.00013211547,0.00495932
