,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2021-01-01 00:00:00,0.00022490968103759242,0.0002704877037636597,0.0,0.001505720994602567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002120443334520918,4.52681010894747e-05,0.00017357694866931928,0.0,0.0018802449616733329,0.0,0.0,1.202521053838452e-06,0.0,0.0,4.152227052079327e-05
2021-01-01 01:00:00,0.0002205491839518659,0.0002652435504726808,0.0,0.0014926981403649976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013962087831506792,4.470327581919135e-05,0.0001531247936692843,0.0,0.0018702240030327134,0.0,0.0,1.13420433305612e-06,0.0,0.0,3.127178782982921e-05
2021-01-01 02:00:00,0.00023778936525822256,0.000285977460336019,0.0,0.0015795423761247223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009236530719838149,4.795959359014689e-05,0.00014307759257129813,0.0,0.001989530083504434,0.0,0.0,1.0661531851015762e-06,0.0,0.0,2.8183830336673518e-05
2021-01-01 03:00:00,0.0002389094857991734,0.000287324573682419,0.0,0.001692207687341173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007377409976225375,4.9824932434700275e-05,0.0001309568233450791,0.0,0.0021226711292180313,0.0,0.0,1.1732182167800767e-06,0.0,0.0,1.61473392065196e-05
2021-01-01 04:00:00,0.0002276400964964467,0.0002737714388362413,0.0,0.0016691102089128867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008656201671280051,5.206922987947177e-05,0.00013773635758158423,0.0,0.002081268333551365,0.0,0.0,1.2715929093912706e-06,0.0,0.0,1.4828231658985099e-05
2021-01-01 05:00:00,0.0002252579106336657,0.00027090650220483773,0.0,0.0016093285979379174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009388176903803548,5.534351028145738e-05,0.00017150479346141794,0.0,0.0020063286087639823,0.0,0.0,1.1650978823420802e-06,0.0,0.0,1.2611707148374566e-05
2021-01-01 06:00:00,0.00022514541606637891,0.00027077121057554507,0.0,0.0015597366277822627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011102672098348763,5.7485790097031335e-05,0.00019080117304900895,0.0,0.0019243415755531277,0.0,0.0,1.4307635662454493e-06,0.0,0.0,1.707446073508978e-05
2021-01-01 07:00:00,0.00023539404651244723,0.0002830967294384525,0.0,0.0015638241699129304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004610509767107561,5.6490811096128924e-05,0.0001943383584209802,0.0,0.001937135436388124,0.0,0.0,1.9496313350078548e-05,0.0,0.0,1.8083914538588783e-05
2021-01-01 08:00:00,0.00023535701746962596,0.00028305219644761333,0.0,0.0015364934072915966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000817088671024864,5.814631313992944e-05,0.00015912199967552316,0.0,0.0019075698163475603,0.0,0.0,0.0003475542244065376,0.0,0.0,1.315290315414966e-05
2021-01-01 09:00:00,0.00023166231448108998,0.00027860876065219825,0.0,0.0014898907725056129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008043423988654243,5.272965893833896e-05,0.00016687031508144366,0.0,0.0018365883776839665,0.0,0.0,0.0009019820159346001,0.0,0.0,8.382572181546212e-06
2021-01-01 10:00:00,0.0002201873332946246,0.00026480837065769454,0.0,0.0015165861304262662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005430942880812797,5.2800833728837294e-05,0.0001797025187431526,0.0,0.0018771929240564678,0.0,0.0,0.0013590385061406777,0.0,0.0,6.140394160082806e-06
2021-01-01 11:00:00,0.0002091468533721183,0.00025153053375485187,0.0,0.0014997823124220236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007553951667209296,5.325656355170674e-05,0.00024605289894009865,0.0,0.001842676562559395,0.0,0.0,0.0014709042250024432,0.0,0.0,5.681163382345644e-06
2021-01-01 12:00:00,0.00019889410910625037,0.00023920006740517477,0.0,0.0015085167618121462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008007795831451104,5.3906019228644544e-05,0.00016802104007484508,0.0,0.0018503340940868938,0.0,0.0,0.0012732576369827765,0.0,0.0,5.725491881427538e-06
2021-01-01 13:00:00,0.00021300327521057226,0.0002561684607796698,0.0,0.0015776461204033967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009008151713955974,5.573650787806953e-05,0.00017441294784682426,0.0,0.0019314515263081729,0.0,0.0,0.0010649655271473353,0.0,0.0,7.937744447760578e-06
2021-01-01 14:00:00,0.00023497223457407727,0.0002825894371684914,0.0,0.0016210255999074621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012832988506151259,5.792329873079343e-05,0.000214734273917862,0.0,0.0020151629117195102,0.0,0.0,0.0006134030003104017,0.0,0.0,8.105787452264246e-06
2021-01-01 15:00:00,0.0002982842187696342,0.00035873161631690673,0.0,0.0016383122698272981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025597798998808364,6.20003662931066e-05,0.00045135348893059863,0.0,0.0020488976978525067,0.0,0.0,0.00013616691200767116,0.0,0.0,9.33857140018987e-06
2021-01-01 16:00:00,0.00035535186259977336,0.00042736403741858734,0.0,0.0013361814065402417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667256278858515,5.893167739069295e-05,0.0012973951088002247,0.0,0.0016599725869483155,0.0,0.0,1.5229167210275983e-06,0.0,0.0,7.683470589219266e-06
