,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2021-01-01 00:00:00,3.428412325215558e-06,1.2442434265166362e-05,0.0,0.0008980518705124134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013093737610414836,2.0823326320476064e-06,2.6459214536511474e-06,0.0,9.372809799173832e-05,0.0,0.0,3.769262315843901e-08,0.0,0.0,3.0136243548297754e-06
2021-01-01 01:00:00,3.3619430568238936e-06,1.2201203215874476e-05,0.0,0.0008902846954186327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.621589248958652e-05,2.0563506698400153e-06,2.334158883201283e-06,0.0,9.322856446680696e-05,0.0,0.0,3.5551258228777936e-08,0.0,0.0,2.269659636648459e-06
2021-01-01 02:00:00,3.6247438833911804e-06,1.3154963061312337e-05,0.0,0.0009420808971364864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703557728102247e-05,2.2061412860042496e-06,2.1810043016850805e-06,0.0,9.91758384813119e-05,0.0,0.0,3.341821759122549e-08,0.0,0.0,2.0455402955976625e-06
2021-01-01 03:00:00,3.641818448837214e-06,1.321693027470905e-05,0.0,0.0010092774719617599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555550667189918e-05,2.2919468721091773e-06,1.9962412696334855e-06,0.0,0.00010581276996297414,0.0,0.0,3.67741354602911e-08,0.0,0.0,1.1719497534244062e-06
2021-01-01 04:00:00,3.4700334327148407e-06,1.259348607719445e-05,0.0,0.0009955015242390428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3452045400771476e-05,2.3951845536728806e-06,2.0995851480669356e-06,0.0,0.00010374888713468369,0.0,0.0,3.985765753675292e-08,0.0,0.0,1.0762108985393145e-06
2021-01-01 05:00:00,3.433720565544185e-06,1.2461698993293393e-05,0.0,0.0009598461885222905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797199246842112e-05,2.5458014508573284e-06,2.614334540976894e-06,0.0,0.00010001322608438379,0.0,0.0,3.651960627353391e-08,0.0,0.0,9.153388613295961e-07
2021-01-01 06:00:00,3.4320057538063063e-06,1.2455475578399929e-05,0.0,0.0009302682243972458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855900031070531e-05,2.6443463215186646e-06,2.908479040693104e-06,0.0,9.592626463016984e-05,0.0,0.0,4.484680892627341e-08,0.0,0.0,1.2392388487301877e-06
2021-01-01 07:00:00,3.588230825025038e-06,1.3022449441174087e-05,0.0,0.0009327061427562266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8469897854827912e-05,2.598577287874288e-06,2.962398151110638e-06,0.0,9.656402421281912e-05,0.0,0.0,6.111054685800762e-07,0.0,0.0,1.312503497535381e-06
2021-01-01 08:00:00,3.5876663725469867e-06,1.3020400923613259e-05,0.0,0.0009164053522494847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0455225511882663e-05,2.6747303812283376e-06,2.425577335683146e-06,0.0,9.509021128480453e-05,0.0,0.0,1.0893971765286917e-05,0.0,0.0,9.546180588128761e-07
2021-01-01 09:00:00,3.5313461412191486e-06,1.281600287879771e-05,0.0,0.000888610306892223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966814320485017e-05,2.425564290117169e-06,2.5436888367744457e-06,0.0,9.155186634876224e-05,0.0,0.0,2.8272326803584885e-05,0.0,0.0,6.083945643043703e-07
2021-01-01 10:00:00,3.3564271837523116e-06,1.2181184944558804e-05,0.0,0.0009045321252108743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.353607233959862e-05,2.428838330451684e-06,2.7392966247118882e-06,0.0,9.357595734695052e-05,0.0,0.0,4.2598610732224384e-05,0.0,0.0,4.4566063360656834e-07
2021-01-01 11:00:00,3.1881315493981423e-06,1.1570404452327731e-05,0.0,0.0008945098832121544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664565161536906e-05,2.449801902121779e-06,3.7507091179425667e-06,0.0,9.185535552183687e-05,0.0,0.0,4.610500454707302e-05,0.0,0.0,4.1233034990777393e-07
2021-01-01 12:00:00,3.0318437691379874e-06,1.1003203005164146e-05,0.0,0.0008997193401041107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944813933378898e-05,2.479676863001696e-06,2.5612299214094444e-06,0.0,9.223707486161134e-05,0.0,0.0,3.99098378703677e-05,0.0,0.0,4.1554764613870495e-07
2021-01-01 13:00:00,3.246916943166835e-06,1.1783749093618185e-05,0.0,0.0009409499200141573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.562533691757309e-05,2.5638793401446272e-06,2.658665013069335e-06,0.0,9.628068768390442e-05,0.0,0.0,3.338099084698893e-05,0.0,0.0,5.761096320155927e-07
2021-01-01 14:00:00,3.5818009317373903e-06,1.2999113996958354e-05,0.0,0.0009668225902167558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.924370414500054e-05,2.6644717184970946e-06,3.2733034342935215e-06,0.0,0.00010045360615718426,0.0,0.0,1.9226913375989742e-05,0.0,0.0,5.88305942204782e-07
2021-01-01 15:00:00,4.546897613874518e-06,1.6501654207394207e-05,0.0,0.0009771328178831615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015806640905603972,2.8520168247361864e-06,6.8802101240811615e-06,0.0,0.00010213524732886962,0.0,0.0,4.2681066452604306e-06,0.0,0.0,6.777795592087321e-07
2021-01-01 16:00:00,5.416808649164983e-06,1.965874555067769e-05,0.0,0.0007969339710270158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041170307584044994,2.71085713644999e-06,1.9776851583999225e-05,0.0,8.274776769226204e-05,0.0,0.0,4.773531896522652e-08,0.0,0.0,5.576548152802481e-07
2021-01-01 17:00:00,5.256970189902626e-06,1.9078657937589233e-05,0.0,0.0007437269618267195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040289560347327755,2.5382346429856636e-06,2.1123374134046563e-05,0.0,7.753424640228208e-05,0.0,0.0,2.83751681930298e-08,0.0,0.0,4.633419267315232e-07
2021-01-01 18:00:00,4.779310296479742e-06,1.7345129043964412e-05,0.0,0.000721172377246812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033999590770976494,2.356411729299838e-06,1.8643873520079316e-05,0.0,7.461580872687548e-05,0.0,0.0,2.7063604419076032e-08,0.0,0.0,2.75066465842567e-07
2021-01-01 19:00:00,4.661375157085723e-06,1.6917117451347395e-05,0.0,0.000761190390137175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026481348958014213,2.2268420242777527e-06,1.3285903593141614e-05,0.0,7.887232601744226e-05,0.0,0.0,2.8172977391840865e-08,0.0,0.0,2.036245777279189e-07
2021-01-01 20:00:00,3.523316573422018e-06,1.2786861877069685e-05,0.0,0.0008194004193598791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013949848497519853,2.416633151234567e-06,5.508447270090278e-06,0.0,8.532811576178088e-05,0.0,0.0,3.595241391184661e-08,0.0,0.0,2.4576891270847057e-07
2021-01-01 21:00:00,3.3447974054948624e-06,1.213897801675654e-05,0.0,0.0008543965734411663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010751232376995508,2.4446322836459e-06,5.245450309802907e-06,0.0,9.008279570445265e-05,0.0,0.0,3.006251306471484e-08,0.0,0.0,1.8176710507643112e-07
2021-01-01 22:00:00,3.130579460570581e-06,1.1361535735810408e-05,0.0,0.0008557399957070055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.465659400778607e-05,2.4603400158878637e-06,3.3035618642343284e-06,0.0,9.043541442512907e-05,0.0,0.0,3.172759138333216e-08,0.0,0.0,1.567046442738842e-07
