,Residual_Hydro_Water_Reservoir_DE,Residual_Hydro_Run-of-river_and_poundage_DE,Residual_Other_DE,Biomass_DE,Fossil_Brown_coal/Lignite_DE,Fossil_Coal-derived_gas_DE,Fossil_Gas_DE,Fossil_Hard_coal_DE,Fossil_Oil_DE,Fossil_Oil_shale_DE,Fossil_Peat_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Hydro_Run-of-river_and_poundage_DE,Hydro_Water_Reservoir_DE,Marine_DE,Nuclear_DE,Other_fossil_DE,Other_renewable_DE,Solar_DE,Waste_DE,Wind_Offshore_DE,Wind_Onshore_DE
2021-01-01 00:00:00,0.0,0.0,0.0,0.007791249425833538,0.0005680855006538418,0.0,0.0003739074717813379,0.0006857019484663965,9.52243787789828e-05,0.0,0.0,1.0116211809270498e-06,0.0001506688673939796,4.740013476124758e-06,7.385129403142737e-08,0.0,5.322073983528507e-05,0.00018680535115894585,1.788342748534211e-05,0.0,0.0,4.178847502204161e-06,0.00012789725284173366
2021-01-01 01:00:00,0.0,0.0,0.0,0.007904351876137628,0.000584362786209075,0.0,0.0003737386524587327,0.0007011124873450718,9.678570009301583e-05,0.0,0.0,1.0284893706107772e-06,5.0116274110822486e-05,4.743871426482475e-06,4.084771160115667e-08,0.0,5.4058147793681634e-05,0.00018959640418907922,1.8150369310856877e-05,0.0,0.0,3.282126749863361e-06,0.00011791817743356547
2021-01-01 02:00:00,0.0,0.0,0.0,0.007939004976893529,0.0006172929706576962,0.0,0.00036546048797810884,0.0006564331355694246,9.74015250497489e-05,0.0,0.0,1.0326208508316408e-06,6.056448216885306e-07,4.765031995190194e-06,8.474195329303687e-08,0.0,5.440777090105475e-05,0.00019093321315683648,1.82786480920433e-05,0.0,0.0,3.459161023562483e-06,0.00010286422932928738
2021-01-01 03:00:00,0.0,0.0,0.0,0.008025397703487588,0.0006268708029618662,0.0,0.00036573602313427235,0.0006311470416066452,9.830215406940737e-05,0.0,0.0,1.0367607183270273e-06,1.7300442252568492e-06,4.8049281561267945e-06,3.5882965825612526e-08,0.0,5.497509181150462e-05,0.00019752616552071015,1.8939990666667484e-05,0.0,0.0,3.2453425338951945e-06,9.29787578345694e-05
2021-01-01 04:00:00,0.0,0.0,0.0,0.008072809097852645,0.0006434919217794727,0.0,0.00037175551878432874,0.00063775219109537,9.858017602662075e-05,0.0,0.0,1.019307998508035e-06,1.007821479276195e-05,4.779579219717505e-06,3.408759649008985e-08,0.0,5.5077854262836035e-05,0.00019843985896863894,1.9030922461409276e-05,0.0,0.0,4.735811737019038e-06,8.00056765066067e-05
2021-01-01 05:00:00,0.0,0.0,0.0,0.008051071857289701,0.0006539731928065554,0.0,0.00036983074503529423,0.0006537552207959534,9.776072019017307e-05,0.0,0.0,9.999800530919453e-07,2.6621230861370512e-05,4.7122190952261145e-06,7.044735596879618e-08,0.0,5.449677726828185e-05,0.00019735462042122878,1.893463105706106e-05,0.0,0.0,5.532933419282083e-06,7.432250406622864e-05
2021-01-01 06:00:00,0.0,0.0,0.0,0.00805976431099883,0.0006170389939788282,0.0,0.0003693822595452239,0.0006716891695022626,9.702460517171305e-05,0.0,0.0,9.91211398698146e-07,0.00026830507263845703,4.661370599328064e-06,5.9428161560158846e-08,0.0,5.379030629835277e-05,0.00019469645893497524,1.867836188767936e-05,6.8151856841083655e-09,0.0,4.1672254671037936e-06,7.207187901244486e-05
2021-01-01 07:00:00,0.0,0.0,0.0,0.008163082495998033,0.0006135366116483891,0.0,0.00039062526077576597,0.0007005841721954979,9.648820750033277e-05,0.0,0.0,9.799997825480697e-07,2.0057427264074982e-05,4.628920455008904e-06,6.040380035685902e-08,0.0,5.367322512758579e-05,0.00019396028596421712,1.8606383713798414e-05,5.274880114795857e-05,0.0,3.841091359796558e-06,7.596614045354381e-05
2021-01-01 08:00:00,0.0,0.0,0.0,0.00790659380632384,0.000581691750687501,0.0,0.0004052074484812197,0.0006782430058371841,9.347296717955564e-05,0.0,0.0,9.342773461714412e-07,3.540154291403316e-05,4.500429621039626e-06,7.386795810911368e-08,0.0,5.2018154478577475e-05,0.00018789055902654645,1.802414397590616e-05,0.0003592013958911076,0.0,2.568023054898772e-06,7.486718072396631e-05
2021-01-01 09:00:00,0.0,0.0,0.0,0.007668911420447142,0.0005353601003071327,0.0,0.0004197057058484464,0.0006486283620113788,9.025475190611899e-05,0.0,0.0,8.84634039636137e-07,2.626344703661865e-05,4.362768242628146e-06,4.9790436538383794e-08,0.0,5.019806999897427e-05,0.00018127379451526036,1.7389049815267246e-05,0.0007589815393804552,0.0,4.461605155310252e-06,6.532753539272632e-05
