,production,imports,exports
2021-01-01 00:00:00,41580.63741493225,6841.4346,4525.5747
2021-01-01 01:00:00,40859.86680603027,6856.556,4718.1685
2021-01-01 02:00:00,40446.06520366669,7080.247,3368.797
2021-01-01 03:00:00,39963.725311756134,7071.781,2522.4058
2021-01-01 04:00:00,40231.91080284119,6660.2974,3103.608
2021-01-01 05:00:00,40794.56931114197,6584.842,3601.1838
2021-01-01 06:00:00,41136.280254745856,6915.884,4089.579
2021-01-01 07:00:00,41120.73510169983,7095.7876,4118.1367
2021-01-01 08:00:00,42508.15245056152,7050.7617,4060.294
2021-01-01 09:00:00,44086.16012382507,7093.214,4381.757
2021-01-01 10:00:00,45407.2129650116,7307.3535,4214.627
2021-01-01 11:00:00,46040.82327270508,7702.52,4394.7583
2021-01-01 12:00:00,45214.55728530884,7576.846,4029.7283
2021-01-01 13:00:00,43842.210485458374,7378.8022,3495.1965
2021-01-01 14:00:00,43046.74568748474,7440.217,2781.036
2021-01-01 15:00:00,45792.087577819824,7375.2236,2052.6953
2021-01-01 16:00:00,47325.78238273598,7709.0796,2152.374
2021-01-01 17:00:00,48185.59642982483,7664.6953,2734.676
2021-01-01 18:00:00,47561.63266944885,7282.851,3770.287
2021-01-01 19:00:00,46630.23291969299,7197.951,4020.779
2021-01-01 20:00:00,46044.10478973389,7236.2173,4767.381
2021-01-01 21:00:00,46213.58743286133,7503.415,4955.2163
2021-01-01 22:00:00,43857.40469932556,8306.53,5314.8003
2021-01-01 23:00:00,42416.88041114807,8954.373,4590.1196
2021-01-02 00:00:00,41730.04535675049,8936.966,4332.2646
2021-01-02 01:00:00,41051.02970123291,8395.88,3412.4712
2021-01-02 02:00:00,40674.63804244995,8037.077,3122.0151
2021-01-02 03:00:00,41065.385049819946,7723.84,2783.3413
2021-01-02 04:00:00,41469.75513744354,7472.356,3288.515
2021-01-02 05:00:00,42017.818088531494,7653.0664,4206.87
2021-01-02 06:00:00,43055.65259506181,7893.6353,5108.303
2021-01-02 07:00:00,44997.421504974365,7964.451,4947.6323
2021-01-02 08:00:00,47281.97191619873,8176.08,5896.5757
