,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2021-01-01 00:00:00,0.0,0.0,0.0,0.035038956,0.0,0.029232219,0.46498582,0.06714973,0.0012903865,0.0,0.0,0.030770756,0.0041193105,0.12809569,0.024914386,0.0,0.0,0.07389944,0.0,0.0,0.0014889075,0.0,0.13901433
2021-01-01 01:00:00,0.0,0.0,0.0,0.037461855,0.0,0.030990213,0.45091024,0.07097759,0.0013679891,0.0,0.0,0.032621276,0.0040513524,0.12911713,0.025518259,0.0,0.0,0.07471325,0.0,0.0,0.001631064,0.0,0.1406398
2021-01-01 02:00:00,0.0,0.0,0.0,0.039295994,0.0,0.03259907,0.44122204,0.073887534,0.0014390082,0.0,0.0,0.03431481,0.0010515829,0.13078369,0.025514722,0.0,0.0,0.070290014,0.0,0.0,0.001771087,0.0,0.14783041
2021-01-01 03:00:00,0.0,0.0,0.0,0.03912922,0.0,0.032933295,0.43946412,0.0731789,0.0014512977,0.0,0.0,0.03455205,0.0,0.13290538,0.02539771,0.0,0.0,0.071001954,0.0,0.0,0.0018420317,0.0,0.148144
2021-01-01 04:00:00,0.0,0.0,0.0,0.038710393,0.0,0.03262733,0.44478244,0.07343914,0.0014378146,0.0,0.0,0.034175746,0.0,0.13520987,0.02571476,0.0,0.0,0.07283084,0.0,0.0,0.0016590168,0.0,0.13941272
2021-01-01 05:00:00,0.0,0.0,0.0,0.039601237,0.0,0.03244107,0.43330032,0.07947786,0.0014320336,0.0,0.0,0.034038335,0.0,0.1375303,0.026107073,0.0,0.0,0.072097376,0.0,0.0,0.0016523465,0.0,0.1423221
2021-01-01 06:00:00,0.0,0.0,0.0,0.039371807,0.0,0.032233264,0.43396845,0.080171324,0.0014277084,0.0,0.0,0.03388062,0.0,0.14090385,0.02762067,0.0,0.0,0.069463514,0.0,0.004228214,0.0018120916,0.0,0.13491845
2021-01-01 07:00:00,0.0,0.0,0.0,0.037674084,0.0,0.030503016,0.39175847,0.07550406,0.0013510705,0.0,0.0,0.032061942,0.0,0.16498649,0.029307837,0.0,0.0,0.061785493,0.0,0.046508003,0.001662856,0.0,0.1268967
2021-01-01 08:00:00,0.0,0.0,0.0,0.035005048,0.0,0.028225224,0.3791412,0.066115305,0.0012501803,0.0,0.0,0.029186903,0.0,0.15771505,0.026446123,0.0,0.0,0.058085304,0.0,0.1039573,0.0015867674,0.0,0.11328557
2021-01-01 09:00:00,0.0,0.0,0.0,0.033068724,0.0,0.026581991,0.39691538,0.062644586,0.0012247675,0.0,0.0,0.027217057,0.0,0.14252666,0.028078929,0.0,0.0,0.05466092,0.0,0.10728057,0.0014969382,0.0,0.11830347
