,Carbon intensity,Human carcinogenic toxicity,Fine particulate matter formation,Land use
2022-01-01 00:00:00,0.05864112,0.0047160736,6.677696e-05,0.0031467571
2022-01-01 01:00:00,0.0615024,0.0049693007,7.063503e-05,0.0032782834
2022-01-01 02:00:00,0.06722364,0.005262079,7.924908e-05,0.0034561781
2022-01-01 03:00:00,0.06586948,0.0051470585,7.830437e-05,0.0033929867
2022-01-01 04:00:00,0.065126434,0.0051366314,7.779049e-05,0.00334136
2022-01-01 05:00:00,0.06561815,0.005211427,7.908048e-05,0.0033041313
2022-01-01 06:00:00,0.065651804,0.0051871943,7.7382654e-05,0.0032398645
2022-01-01 07:00:00,0.060911823,0.005026014,7.193514e-05,0.0030962313
2022-01-01 08:00:00,0.058967665,0.0050372453,7.0865215e-05,0.0031061016
2022-01-01 09:00:00,0.05333885,0.0048219673,6.504417e-05,0.003104135
2022-01-01 10:00:00,0.04930551,0.0046586213,6.125212e-05,0.0030892908
2022-01-01 11:00:00,0.04990988,0.0046307896,6.261955e-05,0.0031552808
2022-01-01 12:00:00,0.04992071,0.004556875,6.290803e-05,0.003188283
2022-01-01 13:00:00,0.0434148,0.004047608,5.2714557e-05,0.002972911
2022-01-01 14:00:00,0.043049734,0.003846379,4.9971255e-05,0.0028404472
2022-01-01 15:00:00,0.042535063,0.0037482302,4.6902238e-05,0.0026630738
2022-01-01 16:00:00,0.041045997,0.0037549962,4.442486e-05,0.0025269967
2022-01-01 17:00:00,0.04380789,0.004058289,4.916539e-05,0.0025365108
2022-01-01 18:00:00,0.047815103,0.004342908,5.5366512e-05,0.002639947
2022-01-01 19:00:00,0.048803363,0.004369867,5.6038738e-05,0.0026662028
2022-01-01 20:00:00,0.047703557,0.004261333,5.2953434e-05,0.0026362233
2022-01-01 21:00:00,0.051341906,0.004409285,5.6784585e-05,0.0027009237
2022-01-01 22:00:00,0.0557017,0.0046687885,6.281445e-05,0.0028139409
2022-01-01 23:00:00,0.06315341,0.005088195,7.304539e-05,0.0030404157
