,production,imports,exports
2022-01-01 00:00:00,53723.0,3395.754,2444.2466
2022-01-01 01:00:00,51956.40002441406,4170.498,2027.6443
2022-01-01 02:00:00,49970.79998779297,4682.27,2126.5742
2022-01-01 03:00:00,49574.20001220703,4111.397,2320.5112
2022-01-01 04:00:00,49987.600006103516,4056.573,2380.8972
2022-01-01 05:00:00,50629.0,4337.703,2604.7307
2022-01-01 06:00:00,52304.59997558594,4042.19,3083.2537
2022-01-01 07:00:00,55535.199951171875,3174.2952,4098.3716
2022-01-01 08:00:00,57221.0,2833.5051,4799.5054
2022-01-01 09:00:00,58478.66662597656,1746.8551,5753.0547
2022-01-01 10:00:00,60179.16662597656,985.83,6025.2104
2022-01-01 11:00:00,60724.66668701172,1029.14,5110.2197
2022-01-01 12:00:00,59850.40002441406,1022.784,5287.948
2022-01-01 13:00:00,58529.40002441406,53.0,7059.943
2022-01-01 14:00:00,57003.0,193.0,8610.5205
2022-01-01 15:00:00,57006.0,205.0,8274.847
2022-01-01 16:00:00,59371.0,25.75,7059.8765
2022-01-01 17:00:00,61558.0,700.25,5437.4453
2022-01-01 18:00:00,61004.0,1544.76,4722.131
2022-01-01 19:00:00,59770.0,1641.847,4653.735
2022-01-01 20:00:00,58480.0,1342.62,4824.7734
2022-01-01 21:00:00,58127.0,1812.677,4012.7656
2022-01-01 22:00:00,57646.0,2598.447,3977.811
2022-01-01 23:00:00,55173.0,3633.857,4352.885
2022-01-02 00:00:00,55298.0,3622.353,3771.2996
2022-01-02 01:00:00,54794.40002441406,3670.578,3750.289
2022-01-02 02:00:00,52327.79998779297,3442.0042,3861.624
2022-01-02 03:00:00,52342.20001220703,3104.052,4451.1523
2022-01-02 04:00:00,52933.600006103516,3214.632,4784.4155
2022-01-02 05:00:00,53695.0,3275.392,4919.441
2022-01-02 06:00:00,55027.600036621094,3383.597,4601.7236
2022-01-02 07:00:00,57287.20007324219,3368.492,4671.9746
2022-01-02 08:00:00,59338.0,2812.759,4733.5146
2022-01-02 09:00:00,60473.66662597656,2337.1592,4445.9507
2022-01-02 10:00:00,62265.16662597656,1330.026,4477.102
2022-01-02 11:00:00,63449.66668701172,1825.7361,4255.964
2022-01-02 12:00:00,64046.399963378906,1422.639,4750.507
2022-01-02 13:00:00,63002.399963378906,1417.54,5396.5894
2022-01-02 14:00:00,62523.83331298828,882.86,6570.603
2022-01-02 15:00:00,63200.16668701172,392.27002,7454.7544
2022-01-02 16:00:00,65245.0,34.77,7295.2744
2022-01-02 17:00:00,66208.0,617.98,6455.7725
2022-01-02 18:00:00,66602.0,1049.94,6093.3174
2022-01-02 19:00:00,65780.14282226562,1169.577,5481.995
2022-01-02 20:00:00,63443.40002441406,1375.779,4961.5747
2022-01-02 21:00:00,62332.59997558594,2132.613,4441.924
2022-01-02 22:00:00,60863.33334350586,3744.8809,3943.6099
2022-01-02 23:00:00,58381.0,3042.3872,4322.9106
2022-01-03 00:00:00,56977.0,2360.513,4447.0034
2022-01-03 01:00:00,55649.20001220703,2185.749,4524.335
