,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2023-01-01 00:00:00,0.0,0.0,0.0,5.7552372191612464e-05,0.0,0.0,0.00018447872791523405,3.705835716791147e-05,2.960485103746659e-05,0.0,0.0,0.0,6.383336707773553e-05,0.00018448194718194048,2.3217692815213885e-05,0.0,0.0015983346377067206,0.0,0.0,0.0,0.0,0.0,0.0028294526179462993
2023-01-01 01:00:00,0.0,0.0,0.0,5.9836075693703246e-05,0.0,0.0,0.00019005115287449838,3.834796250293834e-05,3.0635079486817573e-05,0.0,0.0,0.0,6.605472433766976e-05,0.0001910592692753873,1.4644961193449327e-06,0.0,0.0016181908921349844,0.0,0.0,0.0,0.0,0.0,0.002843387193237546
2023-01-01 02:00:00,0.0,0.0,0.0,6.1532210303922e-05,0.0,0.0,0.00020187553616147645,4.052147883953964e-05,3.165207359287895e-05,0.0,0.0,0.0,6.824754598051309e-05,0.00019178854901059038,7.511038924265187e-06,0.0,0.0016342910710928425,0.0,0.0,0.0,0.0,0.0,0.002847876059477901
2023-01-01 03:00:00,0.0,0.0,0.0,6.249746169563102e-05,0.0,0.0,0.00020041866512399752,4.115713638622588e-05,3.1990229937499695e-05,0.0,0.0,0.0,6.931814036373186e-05,0.00018884785705095155,8.667275649923174e-06,0.0,0.0016545760942373233,0.0,0.0,0.0,0.0,0.0,0.0027962799792707106
2023-01-01 04:00:00,0.0,0.0,0.0,6.200635330452557e-05,0.0,0.0,0.00020094878914676367,4.132099732270961e-05,3.227659220850928e-05,0.0,0.0,0.0,6.959412009392303e-05,0.00018765022138351775,1.229509142415971e-05,0.0,0.0016688493882101147,0.0,0.0,0.0,0.0,0.0,0.00265339551682988
2023-01-01 05:00:00,0.0,0.0,0.0,6.238197663448427e-05,0.0,0.0,0.00020078813897814207,4.2093274331737365e-05,3.200660451299123e-05,0.0,0.0,0.0,6.93536216692597e-05,0.00019076328257196208,2.095102988095142e-05,0.0,0.0016474925948476305,0.0,0.0,0.0,0.0,0.0,0.002536421028753574
2023-01-01 06:00:00,0.0,0.0,0.0,6.100966165823774e-05,0.0,0.0,0.00021071165043223697,4.1766010095752914e-05,3.1082064452365e-05,0.0,0.0,0.0,0.0001800928004098287,0.00018545361796599497,3.089062490064745e-05,0.0,0.0016064197790149222,0.0,0.0,0.0,0.0,0.0,0.0024580844030190323
2023-01-01 07:00:00,0.0,0.0,0.0,5.912934207135662e-05,0.0,0.0,0.0002080551040358664,4.057402461160924e-05,3.0344474741573113e-05,0.0,0.0,0.0,0.00034000219875022553,0.00018129172448675562,4.252117591846112e-05,0.0,0.0015732982090260815,0.0,0.0,6.95118089110746e-05,0.0,0.0,0.0022510140392939387
2023-01-01 08:00:00,0.0,0.0,0.0,5.908210494472669e-05,0.0,0.0,0.00021225707537595026,4.206881495744673e-05,3.017821806644261e-05,0.0,0.0,0.0,0.00030527470925051283,0.00018122920403716787,4.5919907636695225e-05,0.0,0.0015085878289976598,0.0,0.0,0.00022116803786274521,0.0,0.0,0.0024679122935070213
2023-01-01 09:00:00,0.0,0.0,0.0,5.9737718023629846e-05,0.0,0.0,0.00021630068170294767,4.2735805322374464e-05,3.080770419874872e-05,0.0,0.0,0.0,0.0003050439765742771,0.0001831570171090003,1.50513790307752e-06,0.0,0.0015471709265516315,0.0,0.0,0.0005084331798232231,0.0,0.0,0.002411754469314391
