,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2023-01-01 00:00:00,0.0,0.0,0.0,0.0038309747404103424,0.0,0.0011387190459420616,0.0008883615016263712,0.0015280753978890885,0.00041454716569594034,0.0,0.0,4.610069622034573e-05,0.0,1.4034476924652018e-05,1.0266606463223837e-06,0.0,0.0,0.00160215446989449,0.0,0.0,0.0,0.0,1.4050570537498252e-05
2023-01-01 01:00:00,0.0,0.0,0.0,0.0040680695381924556,0.0,0.0012042855765226177,0.0008366959133245058,0.0016119398678423448,0.00043593057495854557,0.0,0.0,4.88139493704297e-05,0.0,1.4537208290352414e-05,1.0714055785648153e-06,0.0,0.0,0.0015683780811646959,0.0,0.0,0.0,0.0,1.5486536969576328e-05
2023-01-01 02:00:00,0.0,0.0,0.0,0.0042465589393211765,0.0,0.0012589229112318827,0.0008121996340140744,0.001626807030264932,0.0004575992522776783,0.0,0.0,5.102859358956455e-05,0.0,1.5135305751345676e-05,1.1200142693493137e-06,0.0,0.0,0.001588041058928636,0.0,0.0,0.0,0.0,1.7553400941168056e-05
2023-01-01 03:00:00,0.0,0.0,0.0,0.004187048987550748,0.0,0.0012445585657674604,0.0007765872173162422,0.0015744091676324545,0.0004499659197911083,0.0,0.0,5.0385577174050456e-05,0.0,1.4580575430645603e-05,1.0897169424469109e-06,0.0,0.0,0.0015812494433128054,0.0,0.0,0.0,0.0,2.020594287696286e-05
2023-01-01 04:00:00,0.0,0.0,0.0,0.004124125580926061,0.0,0.001227613969777237,0.0007778168150914263,0.001564772677989219,0.00044506743092068813,0.0,0.0,4.969958032952108e-05,0.0,1.4601482894182652e-05,9.844202659347036e-07,0.0,0.0,0.0015707542145254238,0.0,0.0,0.0,0.0,2.223395938151709e-05
2023-01-01 05:00:00,0.0,0.0,0.0,0.004047439079024515,0.0,0.0011998923978702029,0.000781223642018694,0.0015175366157453075,0.0004337395728466597,0.0,0.0,4.863587831777004e-05,0.0,1.5167393126609063e-05,9.581437744945516e-07,0.0,0.0,0.0015175045686129736,0.0,0.0,0.0,0.0,2.080455207865116e-05
2023-01-01 06:00:00,0.0,0.0,0.0,0.003944569815669398,0.0,0.0011708066760340345,0.0007893241519596704,0.001484861507182886,0.0004238866535087419,0.0,0.0,4.739975422115141e-05,0.0,1.550482468386833e-05,1.0099160216845352e-06,0.0,0.0,0.0014798924614237298,0.0,5.599694358816402e-05,0.0,0.0,1.858613706330797e-05
2023-01-01 07:00:00,0.0,0.0,0.0,0.0037751297326137686,0.0,0.0011351297573399916,0.0007086649536923309,0.0014484466754006095,0.00041210522013336776,0.0,0.0,4.595538495671065e-05,1.6725910856187035e-05,1.803883244733424e-05,1.0775479851168725e-06,0.0,0.0,0.0014069729361835348,0.0,0.0011026608079568276,0.0,0.0,1.7200697892349936e-05
2023-01-01 08:00:00,0.0,0.0,0.0,0.0035641149666473444,0.0,0.0010667874164747616,0.0005681587696030468,0.0013571641909711914,0.00038736051538281835,0.0,0.0,4.3136594153679376e-05,0.0,1.624850060215432e-05,6.465914893796448e-07,0.0,0.0,0.0013755193172171754,0.0,0.0028889358686812077,0.0,0.0,1.2608983181029068e-05
2023-01-01 09:00:00,0.0,0.0,0.0,0.003403450038698267,0.0,0.0010162465078038512,0.0005698517537271879,0.001319734916210546,0.0003714252928086705,0.0,0.0,4.1125836360641364e-05,0.0,1.3895827264459152e-05,3.9251804778397715e-07,0.0,0.0,0.00140496008695564,0.0,0.0036782759950488215,0.0,0.0,1.0939315828264344e-05
