annee,mois,Hydro,Nuclear,Thermical,Conso_pompes_STEP,Prod_nette,Imports,Exports,Conso_CH,Pertes,Conso_Finale_CH
2012,1,2796,2437,310,133,5410,3616,2900,6126,386,5740
2012,2,2835,2276,309,92,5328,3585,2661,6252,440,5812
2012,3,2148,2357,349,157,4697,3777,2883,5591,384,5207
2012,4,2445,2222,297,174,4790,2749,2507,5032,381,4651
2012,5,3771,2291,326,227,6161,1537,2906,4792,343,4449
2012,6,4486,1508,293,360,5927,1680,2948,4659,313,4346
2012,7,4560,2236,320,317,6799,1269,3434,4634,348,4286
2012,8,4244,1351,309,288,5616,1498,2406,4708,347,4361
2012,9,3426,1296,287,185,4824,2540,2621,4743,331,4412
2012,10,3414,1567,295,141,5135,3280,3121,5294,384,4910
2012,11,2865,2362,344,147,5424,3041,2884,5581,376,5205
2012,12,2916,2442,329,190,5497,2977,2478,5996,402,5594
2013,1,3112,2421,343,101,5775,3240,2834,6181,389,5792
2013,2,3003,2214,342,69,5490,3271,2922,5839,411,5428
2013,3,2333,2437,369,87,5052,3268,2399,5921,408,5513
2013,4,2419,2352,341,124,4988,2362,2182,5168,391,4777
2013,5,4038,1713,332,146,5937,1826,2837,4926,353,4573
2013,6,3983,1555,300,253,5585,1691,2566,4710,316,4394
2013,7,4416,1817,314,308,6239,1601,3146,4694,352,4342
2013,8,4035,1710,294,272,5767,1540,2646,4661,344,4317
2013,9,3097,1328,280,245,4460,2345,2048,4757,332,4425
2013,10,2953,2454,299,199,5507,2536,2823,5220,379,4841
2013,11,3297,2394,318,138,5871,2862,3052,5681,382,5299
2013,12,2886,2476,337,190,5509,3332,2815,6026,404,5622
2014,1,2509,2469,326,154,5150,3525,2636,6039,380,5659
2014,2,2518,2233,304,122,4933,3360,2816,5477,386,5091
2014,3,2776,2459,378,126,5487,3248,3151,5584,385,5199
2014,4,2932,2257,319,140,5368,1818,2344,4842,366,4476
2014,5,3525,2449,318,226,6066,1531,2730,4867,349,4518
2014,6,3975,1659,309,337,5606,1596,2657,4545,305,4240
2014,7,4430,2122,337,313,6576,1480,3409,4647,348,4299
2014,8,4134,1466,315,331,5584,1532,2539,4577,338,4239
2014,9,3174,1956,309,227,5212,2064,2500,4776,333,4443
2014,10,2963,2441,344,143,5605,2614,3046,5173,376,4797
2014,11,3246,2385,332,119,5844,2708,3161,5391,362,5029
2014,12,3126,2474,364,117,5847,3054,3032,5869,393,5476
2015,1,3110,2430,367,79,5828,3799,3437,6190,390,5800
2015,2,2884,2235,370,70,5419,3432,3045,5806,409,5397
2015,3,2500,2299,363,122,5040,3381,2742,5679,392,5287
2015,4,2704,2010,334,136,4912,2624,2592,4944,374,4570
2015,5,4078,2172,349,278,6321,1176,2747,4750,340,4410
2015,6,4585,1494,335,284,6130,1475,2987,4618,310,4308
2015,7,4314,1899,359,325,6247,1848,3406,4689,351,4338
2015,8,3517,1032,344,329,4564,2229,2152,4641,342,4299
2015,9,3241,1261,331,246,4587,2683,2446,4824,337,4487
2015,10,3278,1478,387,134,5009,3377,3104,5282,384,4898
2015,11,2825,1800,416,101,4940,3815,3321,5434,365,5069
2015,12,2450,1985,421,192,4664,4194,3089,5769,386,5383
2016,1,2236,2200,431,214,4653,4110,2728,6035,380,5655
2016,2,2401,2056,452,124,4785,3817,2924,5678,400,5278
2016,3,2356,2195,468,166,4853,3853,2953,5753,397,5356
2016,4,2931,2115,416,195,5267,2299,2543,5023,380,4643
2016,5,3396,2162,384,284,5658,1608,2449,4817,345,4472
2016,6,4545,1508,370,317,6106,1326,2819,4613,309,4304
2016,7,4228,2061,391,385,6295,1728,3489,4534,339,4195
2016,8,3608,973,405,344,4642,2405,2480,4567,337,4230
2016,9,3189,1143,416,255,4493,2662,2500,4655,325,4330
2016,10,2304,1280,431,257,3758,3142,1644,5256,382,4874
2016,11,2328,1250,448,223,3803,3671,1834,5640,379,5261
2016,12,2804,1292,443,158,4381,3475,1810,6046,405,5641
2017,1,3199,1293,437,199,4730,3832,2002,6560,413,6147
2017,2,1725,1369,465,246,3313,4100,1939,5474,386,5088
2017,3,2404,2129,522,289,4766,3632,2869,5529,382,5147
2017,4,2323,2059,434,240,4576,2401,2145,4832,366,4466
2017,5,3245,2101,449,372,5423,1953,2520,4856,348,4508
2017,6,4222,1360,452,475,5559,1808,2759,4608,309,4299
2017,7,3829,2017,433,482,5797,2078,3300,4575,342,4233
2017,8,3927,1706,415,453,5595,1825,2730,4690,346,4344
2017,9,3155,1340,411,362,4544,2564,2313,4795,335,4460
2017,10,2567,1287,421,366,3909,3831,2626,5114,372,4742
2017,11,3081,1252,425,354,4404,4022,2701,5725,385,5340
2017,12,2989,1586,458,322,4711,4450,3042,6119,410,5709
2018,1,2713,2060,447,261,4959,3734,2782,5911,372,5539
2018,2,3006,1867,450,161,5162,3788,3202,5748,406,5342
2018,3,2343,2148,427,281,4637,3708,2462,5883,406,5477
2018,4,2699,2244,482,413,5012,2166,2457,4721,358,4363
2018,5,4368,2300,501,462,6707,1075,3042,4740,340,4400
2018,6,4595,1633,534,456,6306,1118,2788,4636,311,4325
2018,7,3946,2175,504,317,6308,1614,3333,4589,343,4246
2018,8,3540,2088,484,356,5756,1548,2736,4568,337,4231
2018,9,2664,1736,493,404,4489,2168,2039,4618,323,4295
2018,10,2417,1553,477,235,4212,3679,2731,5160,375,4785
2018,11,2500,2241,451,307,4885,2926,2263,5548,373,5175
2018,12,2637,2369,466,334,5138,3496,2772,5862,393,5469
2019,1,3047,2373,463,220,5663,3520,2953,6230,392,5838
2019,2,2216,2088,495,200,4599,3404,2531,5472,386,5086
2019,3,2249,2375,492,334,4782,3340,2562,5560,384,5176
2019,4,2699,2259,442,313,5087,2248,2430,4905,372,4533
2019,5,3139,2038,538,384,5331,2055,2419,4967,356,4611
2019,6,4809,919,564,601,5691,1724,2913,4502,302,4200
2019,7,5074,2047,574,428,7267,1210,3943,4534,339,4195
2019,8,4819,1954,525,338,6960,1185,3691,4454,329,4125
2019,9,3057,2163,502,386,5336,2154,2886,4604,322,4282
2019,10,3268,2441,488,394,5803,2765,3480,5088,370,4718
2019,11,3153,2373,477,248,5755,2876,3144,5487,369,5118
2019,12,3026,2250,498,287,5487,3024,2813,5698,382,5316
2020,1,3219,2187,498,206,5698,3259,3076,5881,370,5511
2020,2,2736,2047,531,232,5082,3232,2973,5341,377,4964
2020,3,3005,2185,542,300,5432,2570,2709,5293,366,4927
2020,4,2778,1974,519,429,4842,1764,2285,4321,328,3993
2020,5,3671,1944,554,600,5569,1607,2696,4480,321,4159
2020,6,4181,1476,546,487,5716,1254,2522,4448,298,4150
2020,7,4393,1249,618,414,5846,1587,2990,4443,332,4111
2020,8,3889,1626,557,508,5564,1482,2574,4472,330,4142
2020,9,3364,2067,555,385,5601,1582,2547,4636,324,4312
2020,10,3431,2164,481,425,5651,2422,2837,5236,381,4855
2020,11,3010,2103,473,203,5383,2877,2839,5421,365,5056
2020,12,2939,1968,443,270,5080,3352,2500,5932,398,5534
2021,1,3273,2147,401,274,5547,3258,2648,6157,387,5770
2021,2,2772,1946,451,212,4957,2876,2508,5325,376,4949
2021,3,2696,2174,540,204,5206,2954,2592,5568,385,5183
2021,4,2287,2104,612,322,4681,2330,2042,4969,377,4592
2021,5,3250,1576,605,506,4925,1950,2001,4874,349,4525
2021,6,4792,629,632,411,5642,1675,2718,4599,308,4291
2021,7,4947,1258,433,433,6205,1730,3394,4541,339,4202
2021,8,4463,1040,594,404,5693,1958,3067,4584,338,4246
2021,9,3103,1119,529,325,4426,2531,2247,4710,329,4381
2021,10,2402,1277,513,327,3865,3457,2102,5220,380,4840
2021,11,2877,1227,422,309,4217,3433,1871,5779,389,5390
2021,12,2638,2033,453,418,4706,3380,1929,6157,413,5744
